Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-21,0,0,11228,2031061.21,Enxurradas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,3845.205479452055,695568.9075342466,32967,
2023-09-08,0,0,0,0.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,,,32967,
2022-06-29,0,0,34335,1221896.28,Enxurradas,2022/2023,15002.0,2022-10-12,2.43,2.69,2.86,74500000,12763.940520446096,454236.5353159852,32967,
2017-06-16,0,0,3457,303650.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1243.5251798561153,109226.61870503596,32967,
2015-07-31,0,0,568,33910.0,Chuvas Intensas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,198.6013986013986,11856.643356643355,32967,
2014-07-18,0,0,6000,1583000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,1941.747572815534,512297.7346278317,32967,
2011-02-12,0,0,4540,0.0,Enxurradas,2011/2012,,,,,,74500000,,,32967,
2009-12-02,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,32967,
1993-09-29,0,0,0,0.0,Inundações,1993/1994,,,,,,74500000,,,32967,
2023-11-21,0,0,11228,2031061.21,Enxurradas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,3026.4150943396226,547455.8517520216,32967,Sim
2023-09-08,0,0,0,0.0,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,,,32967,Sim
2022-06-29,0,0,34335,1221896.28,Enxurradas,2022/2023,898.6,2022-05-29,7.75,11.92,11.31,74370000,2880.453020134228,102508.07718120806,32967,Sim
2017-06-16,0,0,3457,303650.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,293.4634974533107,25776.740237691003,32967,Sim
2015-07-31,0,0,568,33910.0,Chuvas Intensas,2015/2016,722.0,2015-12-15,4.77,4.56,4.6,74370000,124.56140350877196,7436.40350877193,32967,Sim
2014-07-18,0,0,6000,1583000.0,Enxurradas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,104.63899546564352,27607.25497035228,32967,Sim
2011-02-12,0,0,4540,0.0,Enxurradas,2011/2012,850.7,2011-06-23,6.2,9.08,8.81,74370000,500.0,,32967,Sim
2009-12-02,0,0,0,0.0,Enxurradas,2009/2010,641.5,2009-11-22,2.7,3.09,3.15,74370000,,,32967,Sim
1993-09-29,0,0,0,0.0,Inundações,1993/1994,551.9,1993-10-03,2.38,2.11,2.15,74370000,,,32967,Sim
2023-11-21,0,0,11228,2031061.21,Enxurradas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,4158.518518518518,752244.8925925925,32967,
2023-09-08,0,0,0,0.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,,,32967,
2022-06-29,0,0,34335,1221896.28,Enxurradas,2022/2023,1926.4,2022-05-30,2.02,2.14,2.09,74270000,16044.392523364486,570979.5700934579,32967,
2017-06-16,0,0,3457,303650.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,652.2641509433962,57292.45283018868,32967,
2015-07-31,0,0,568,33910.0,Chuvas Intensas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,25.82992269213279,1542.0645748067304,32967,
2014-07-18,0,0,6000,1583000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,246.6091245376079,65063.70735717222,32967,
2011-02-12,0,0,4540,0.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,557.7395577395577,,32967,
2009-12-02,0,0,0,0.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,,32967,
1993-09-29,0,0,0,0.0,Inundações,1993/1994,2871.6,1993-07-05,5.31,4.87,4.98,74270000,,,32967,
