Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-14,0,0,12,155000.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,0.2130681818181818,2752.130681818182,44583,Sim
2017-06-05,0,0,10884,2705611.0,Enxurradas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,1362.2027534418023,338624.6558197747,44583,Sim
2011-03-28,0,0,3692,5477800.0,Enxurradas,2011/2012,15718.3,2011-07-24,2.91,2.43,2.53,75550000,1519.3415637860082,2254238.683127572,44583,Sim
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,,,,,,75550000,,,44583,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,22574.1,1992-06-01,6.4,7.94,7.12,75550000,,,44583,Sim
2023-09-14,0,0,12,155000.0,Chuvas Intensas,2023/2024,1081.9,2023-11-19,14.17,20.38,46.71,75155000,0.5888125613346419,7605.49558390579,44583,
2017-06-05,0,0,10884,2705611.0,Enxurradas,2017/2018,1134.5,2017-06-09,17.0,23.36,60.76,75155000,465.9246575342466,115822.38869863014,44583,
2011-03-28,0,0,3692,5477800.0,Enxurradas,2011/2012,997.8,2011-07-22,10.62,16.27,30.72,75155000,226.920712968654,336681.007990166,44583,
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,383.3,1998-05-15,2.66,2.26,1.92,75155000,,,44583,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,4277.1,1992-05-28,85.0,4009.98,470314145.6,75155000,,,44583,
