Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,0,0,6812,1700000.0,Enxurradas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,374.6974697469747,93509.3509350935,7793,Sim
2023-09-04,0,0,6812,1100000.0,Enxurradas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,374.6974697469747,60506.0506050605,7793,Sim
2001-08-17,0,0,0,0.0,Enxurradas,2001/2002,887.1,2001-10-01,8.75,10.96,8.6,86480000,,,7793,Sim
1993-08-19,0,0,0,0.0,Enxurradas,1993/1994,455.4,1993-07-04,1.59,1.6,1.69,86480000,,,7793,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,1077.3,1992-05-28,70.0,39.57,19.84,86480000,,,7793,Sim
2023-11-18,0,0,6812,1700000.0,Enxurradas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,805.2009456264775,200945.62647754131,7793,
2023-09-04,0,0,6812,1100000.0,Enxurradas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,805.2009456264775,130023.64066193852,7793,
2001-08-17,0,0,0,0.0,Enxurradas,2001/2002,12763.4,2001-10-01,86.0,43.68,32.69,86510000,,,7793,
1993-08-19,0,0,0,0.0,Enxurradas,1993/1994,6241.7,1993-07-05,2.53,2.55,2.63,86510000,,,7793,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,8658.1,1992-05-28,5.38,6.4,6.26,86510000,,,7793,
