Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-19,0,0,3638,1856000.0,Chuvas Intensas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,64.77920227920228,33048.43304843305,59419,
2023-09-27,0,0,36,10000.0,Chuvas Intensas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,0.6410256410256411,178.06267806267806,59419,
2023-06-20,0,0,5842,670000.0,Chuvas Intensas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,104.02421652421653,11930.199430199433,59419,
2021-04-28,0,0,560,73000.0,Chuvas Intensas,2021/2022,196.1,2021-06-28,1.07,1.05,1.05,87374000,533.3333333333333,69523.80952380953,59419,
2015-07-21,0,0,395,1430194.0,Alagamentos,2015/2016,504.1,2015-07-21,7.5,9.83,5.96,87374000,40.18311291963377,145492.77721261446,59419,
2013-09-09,0,20,755,6473000.0,Inundações,2013/2014,540.8,2013-08-27,10.0,19.08,8.11,87374000,39.57023060796646,339255.7651991615,59419,
2011-07-21,0,0,8340,0.0,Enxurradas,2011/2012,406.3,2011-07-21,3.33,2.72,2.77,87374000,3066.176470588235,,59419,
2010-01-10,0,0,1660,3250600.0,Enxurradas,2010/2011,346.3,2010-07-23,1.67,1.69,1.86,87374000,982.2485207100592,1923431.952662722,59419,
2009-09-28,0,0,11268,0.0,Enxurradas,2009/2010,481.0,2009-09-13,6.0,6.82,4.93,87374000,1652.199413489736,,59419,
1993-07-06,0,0,0,0.0,Inundações,1993/1994,,,,,,87374000,,,59419,
2023-11-19,0,0,3638,1856000.0,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,109.41353383458646,55819.54887218045,59419,Sim
2023-09-27,0,0,36,10000.0,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,1.0827067669172932,300.7518796992481,59419,Sim
2023-06-20,0,0,5842,670000.0,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,175.69924812030075,20150.375939849622,59419,Sim
2021-04-28,0,0,560,73000.0,Chuvas Intensas,2021/2022,268.0,2021-06-29,1.38,1.4,1.54,87380000,400.0,52142.857142857145,59419,Sim
2015-07-21,0,0,395,1430194.0,Alagamentos,2015/2016,504.8,2015-07-22,29.0,18.28,7.82,87380000,21.60831509846827,78238.18380743983,59419,Sim
2013-09-09,0,20,755,6473000.0,Inundações,2013/2014,539.7,2013-08-28,87.0,36.45,10.37,87380000,20.713305898491083,177585.73388203015,59419,Sim
2011-07-21,0,0,8340,0.0,Enxurradas,2011/2012,481.6,2011-07-23,17.4,12.12,6.51,87380000,688.1188118811882,,59419,Sim
2010-01-10,0,0,1660,3250600.0,Enxurradas,2010/2011,340.5,2010-07-25,2.07,2.17,2.33,87380000,764.9769585253456,1497972.350230415,59419,Sim
2009-09-28,0,0,11268,0.0,Enxurradas,2009/2010,471.3,2009-09-30,9.67,10.23,6.0,87380000,1101.466275659824,,59419,Sim
1993-07-06,0,0,0,0.0,Inundações,1993/1994,437.1,1993-07-09,5.8,6.13,4.61,87380000,,,59419,Sim
