Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-20,0,0,3982,2350000.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,679.5221843003412,401023.8907849829,5790,Sim
2023-09-15,0,0,3982,1200000.0,Enxurradas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,679.5221843003412,204778.15699658703,5790,Sim
2023-07-13,0,0,3982,377000.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,679.5221843003412,64334.47098976109,5790,Sim
2022-07-18,0,0,5790,950000.0,Enxurradas,2022/2023,2058.4,2022-06-23,1.45,1.63,1.81,85400000,3552.147239263804,582822.0858895706,5790,Sim
2019-11-01,0,0,150,200000.0,Enxurradas,2019/2020,2518.2,2019-10-31,2.17,2.72,2.8,85400000,55.147058823529406,73529.41176470587,5790,Sim
2015-12-29,0,0,2900,1310197.0,Enxurradas,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,394.5578231292517,178258.09523809524,5790,Sim
2015-10-16,0,0,2600,1087396.0,Enxurradas,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,353.74149659863946,147945.03401360544,5790,Sim
2014-07-08,0,0,4600,619200.0,Enxurradas,2014/2015,2708.9,2014-07-25,3.35,3.64,3.44,85400000,1263.7362637362637,170109.8901098901,5790,Sim
2010-01-05,0,0,0,2025820.01,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,245851.94296116504,5790,Sim
2003-12-16,0,0,0,0.0,Enxurradas,2003/2004,3011.0,2003-12-16,14.5,6.4,4.85,85400000,,,5790,Sim
2002-10-29,0,0,0,0.0,Enxurradas,2002/2003,2526.1,2002-10-09,2.23,2.75,2.83,85400000,,,5790,Sim
2001-08-02,0,0,0,0.0,Enxurradas,2001/2002,2575.4,2001-10-01,2.42,2.95,2.98,85400000,,,5790,Sim
2001-01-19,0,0,0,0.0,Enxurradas,2001/2002,2575.4,2001-10-01,2.42,2.95,2.98,85400000,,,5790,Sim
1997-10-09,0,0,0,0.0,Enxurradas,1997/1998,3560.4,1997-10-16,43.5,25.51,9.43,85400000,,,5790,Sim
