Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,TR Log-Pearson 3,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2010-10-10,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,2.23,75550000,,,3840,
2010-05-20,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,2.23,75550000,,,3840,
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,2.23,75550000,,,3840,
2009-12-10,0,0,0,0.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,1.79,75550000,,,3840,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,22574.1,1992-06-01,6.4,7.94,7.12,7.16,75550000,,,3840,
2010-10-10,0,0,0,0.0,Enxurradas,2010/2011,1027.4,2010-09-23,2.24,2.22,2.09,2.25,75230000,,,3840,Sim
2010-05-20,0,0,0,0.0,Enxurradas,2010/2011,1027.4,2010-09-23,2.24,2.22,2.09,2.25,75230000,,,3840,Sim
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,1027.4,2010-09-23,2.24,2.22,2.09,2.25,75230000,,,3840,Sim
2009-12-10,0,0,0,0.0,Enxurradas,2009/2010,1176.3,2009-08-10,3.27,2.86,2.74,2.91,75230000,,,3840,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,6369.1,1992-05-29,85.0,9206.76,617300.93,4440.52,75230000,,,3840,Sim
