Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-23,0,0,327778,52922013.04,Chuvas Intensas,2023/2024,250.4,2023-07-13,2.26,2.65,2.77,88850000,123689.81132075471,19970570.958490565,343826,
2016-05-06,0,0,22000,22545699.42,Chuvas Intensas,2016/2017,207.5,2016-04-25,1.79,1.81,1.89,88850000,12154.696132596684,12456187.52486188,343826,
2015-10-29,0,0,13117,3903534.0,Chuvas Intensas,2015/2016,222.7,2015-10-15,1.97,2.05,2.15,88850000,6398.536585365854,1904162.9268292685,343826,
2010-12-10,0,0,0,0.0,Enxurradas,2010/2011,95.5,2010-07-19,1.05,1.06,1.06,88850000,,,343826,
2010-01-18,0,0,0,0.0,Enxurradas,2010/2011,95.5,2010-07-19,1.05,1.06,1.06,88850000,,,343826,
2009-01-29,2,256,59755,0.0,Inundações,2009/2010,194.2,2009-01-28,1.56,1.64,1.71,88850000,36435.9756097561,,343826,
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,314.1,1995-07-28,7.62,5.49,5.32,88850000,,,343826,
2023-09-23,0,0,327778,52922013.04,Chuvas Intensas,2023/2024,57.8,2023-07-13,1.88,1.88,1.86,88750000,174350.0,28150006.936170213,343826,
2016-05-06,0,0,22000,22545699.42,Chuvas Intensas,2016/2017,49.7,2016-04-24,1.63,1.59,1.56,88750000,13836.477987421384,14179685.16981132,343826,
2015-10-29,0,0,13117,3903534.0,Chuvas Intensas,2015/2016,56.4,2015-09-23,1.77,1.82,1.8,88750000,7207.142857142857,2144798.901098901,343826,
2010-12-10,0,0,0,0.0,Enxurradas,2010/2011,35.1,2010-05-19,1.22,1.24,1.23,88750000,,,343826,
2010-01-18,0,0,0,0.0,Enxurradas,2010/2011,35.1,2010-05-19,1.22,1.24,1.23,88750000,,,343826,
2009-01-29,2,256,59755,0.0,Inundações,2009/2010,86.3,2009-01-29,3.65,3.88,3.93,88750000,15400.773195876289,,343826,
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,140.9,1995-07-28,15.5,20.14,22.32,88750000,,,343826,
2023-09-23,0,0,327778,52922013.04,Chuvas Intensas,2023/2024,599.5,2023-07-13,5.0,5.69,5.46,88575000,57605.97539543058,9300881.026362035,343826,Sim
2016-05-06,0,0,22000,22545699.42,Chuvas Intensas,2016/2017,631.5,2016-04-24,6.25,6.94,6.43,88575000,3170.028818443804,3248659.8587896256,343826,Sim
2015-10-29,0,0,13117,3903534.0,Chuvas Intensas,2015/2016,509.7,2015-09-24,3.33,3.42,3.5,88575000,3835.380116959064,1141384.2105263155,343826,Sim
2010-12-10,0,0,0,0.0,Enxurradas,2010/2011,530.2,2010-07-25,3.57,3.81,3.86,88575000,,,343826,Sim
2010-01-18,0,0,0,0.0,Enxurradas,2010/2011,530.2,2010-07-25,3.57,3.81,3.86,88575000,,,343826,Sim
2009-01-29,2,256,59755,0.0,Inundações,2009/2010,722.7,2009-11-18,12.5,12.77,10.43,88575000,4679.326546593579,,343826,Sim
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,557.8,1995-07-03,3.85,4.45,4.42,88575000,,,343826,Sim
