Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-12-12,0,0,2515,600000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,861.3013698630137,205479.45205479453,2581
2017-06-09,0,0,280,30000.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,100.71942446043168,10791.36690647482,2581
2014-07-07,0,0,1535,950000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,496.76375404530745,307443.3656957929,2581
2011-01-10,0,0,0,0.0,Enxurradas,2011/2012,,,,,,74500000,,,2581
2010-12-12,0,0,0,891300.01,Enxurradas,2010/2011,,,,,,74500000,,,2581
2010-05-20,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,2581
2009-11-26,0,0,0,1177250.0,Enxurradas,2009/2010,,,,,,74500000,,,2581
2023-12-12,0,0,2515,600000.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,931.4814814814814,222222.22222222225,2581
2017-06-09,0,0,280,30000.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,52.83018867924528,5660.377358490567,2581
2014-07-07,0,0,1535,950000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,63.09083436087136,39046.444718454586,2581
2011-01-10,0,0,0,0.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,,,2581
2010-12-12,0,0,0,891300.01,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,230310.0801033592,2581
2010-05-20,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,2581
2009-11-26,0,0,0,1177250.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,542511.5207373272,2581
