Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-08,0,0,4503,1660000.0,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,1213.7466307277627,447439.3530997305,4926
2017-06-04,0,0,3608,867357.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,306.28183361629885,73629.62648556876,4926
2015-07-23,0,0,879,946205.0,Inundações,2015/2016,722.0,2015-12-15,4.77,4.56,4.6,74370000,192.76315789473685,207501.0964912281,4926
2014-07-10,0,0,447,2215600.0,Inundações,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,7.795605162190442,38639.69305894663,4926
2023-11-08,0,0,4503,1660000.0,Chuvas Intensas,2023/2024,591.0,2023-11-03,8.71,8.23,7.57,74320000,547.1445929526124,201701.0935601458,4926
2017-06-04,0,0,3608,867357.0,Enxurradas,2017/2018,370.9,2017-05-28,2.1,2.17,2.26,74320000,1662.672811059908,399703.6866359447,4926
2015-07-23,0,0,879,946205.0,Inundações,2015/2016,927.6,2015-07-14,61.0,127.62,62.29,74320000,6.887635166901739,7414.237580316564,4926
2014-07-10,0,0,447,2215600.0,Inundações,2014/2015,559.1,2014-09-30,7.62,6.58,6.26,74320000,67.93313069908814,336717.3252279635,4926
2023-11-08,0,0,4503,1660000.0,Chuvas Intensas,2023/2024,209.8,2023-11-03,3.57,3.44,3.49,74295000,1309.0116279069769,482558.1395348837,4926
2017-06-04,0,0,3608,867357.0,Enxurradas,2017/2018,194.7,2017-05-19,3.33,2.9,2.96,74295000,1244.1379310344828,299088.6206896552,4926
2015-07-23,0,0,879,946205.0,Inundações,2015/2016,253.7,2015-07-17,8.33,6.03,5.79,74295000,145.77114427860695,156916.2520729685,4926
2014-07-10,0,0,447,2215600.0,Inundações,2014/2015,385.7,2014-06-26,25.0,45.32,30.6,74295000,9.863195057369817,48887.90820829656,4926
2023-11-08,0,0,4503,1660000.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,1667.7777777777776,614814.8148148148,4926
2017-06-04,0,0,3608,867357.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,680.7547169811321,163652.2641509434,4926
2015-07-23,0,0,879,946205.0,Inundações,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,39.97271487039564,43028.87676216463,4926
2014-07-10,0,0,447,2215600.0,Inundações,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,18.37237977805179,91064.52938758736,4926
2023-11-08,0,0,4503,1660000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,202.47302158273385,74640.28776978418,4926
2017-06-04,0,0,3608,867357.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,737.8323108384459,177373.61963190185,4926
2015-07-23,0,0,879,946205.0,Inundações,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,213.3495145631068,229661.40776699028,4926
2014-07-10,0,0,447,2215600.0,Inundações,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,40.82191780821918,202337.899543379,4926
2023-11-08,0,0,4503,1660000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,1542.123287671233,568493.1506849315,4926
2017-06-04,0,0,3608,867357.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1297.841726618705,311998.9208633093,4926
2015-07-23,0,0,879,946205.0,Inundações,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,307.34265734265733,330840.9090909091,4926
2014-07-10,0,0,447,2215600.0,Inundações,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,144.6601941747573,717022.6537216828,4926
