Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-15,0,0,19831,99592.0,Chuvas Intensas,2023/2024,4946.4,2023-09-14,61.0,31.37,14.18,87905000,632.1644883646796,3174.75294867708,20743,Sim
2022-08-05,0,0,0,0.0,Chuvas Intensas,2022/2023,2628.9,2022-07-18,1.56,1.66,1.81,87905000,,,20743,Sim
2019-11-04,0,0,50,0.0,Chuvas Intensas,2019/2020,3448.7,2019-11-01,3.39,3.32,3.43,87905000,15.060240963855422,,20743,Sim
2018-09-04,0,0,10,10.0,Chuvas Intensas,2018/2019,3169.1,2018-09-03,2.9,2.51,2.71,87905000,3.9840637450199208,3.9840637450199208,20743,Sim
2017-10-25,0,0,0,0.0,Chuvas Intensas,2017/2018,2811.5,2017-10-23,1.91,1.87,2.06,87905000,,,20743,Sim
2016-04-27,0,0,1300,467897.0,Chuvas Intensas,2016/2017,2933.1,2016-04-27,2.35,2.05,2.25,87905000,634.1463414634147,228242.43902439027,20743,Sim
2002-04-24,0,0,0,1579000.0,Inundações,2002/2003,4006.0,2002-12-07,6.1,6.6,5.68,87905000,,239242.42424242423,20743,Sim
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,4197.4,2001-09-09,7.62,8.71,6.81,87905000,,,20743,Sim
1995-09-04,0,0,0,0.0,Enxurradas,1995/1996,4295.3,1995-07-20,8.71,10.12,7.48,87905000,,,20743,Sim
1993-05-06,0,0,0,0.0,Enxurradas,1993/1994,1848.0,1993-11-21,1.2,1.17,1.2,87905000,,,20743,Sim
1992-04-22,0,0,0,0.0,Inundações,1992/1993,4915.0,1992-04-15,20.33,29.55,13.74,87905000,,,20743,Sim
