Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-07,0,0,3296,2157000.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,1220.7407407407406,798888.8888888889,3898
2017-06-08,0,0,790,108500.0,Chuvas Intensas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,149.0566037735849,20471.69811320755,3898
2016-10-19,0,0,3857,200000.0,Chuvas Intensas,2016/2017,1134.1,2016-10-21,1.27,1.27,1.26,74270000,3037.007874015748,157480.3149606299,3898
2014-07-07,0,0,3857,739329.0,Chuvas Intensas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,158.52856555692563,30387.546239210853,3898
2011-07-20,0,0,0,0.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,,,3898
1997-09-29,0,0,0,0.0,Enxurradas,1997/1998,3760.2,1997-10-30,12.14,11.43,12.69,74270000,,,3898
2023-10-07,0,0,3296,2157000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,148.20143884892087,96987.41007194245,3898
2017-06-08,0,0,790,108500.0,Chuvas Intensas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,161.55419222903888,22188.139059304704,3898
2016-10-19,0,0,3857,200000.0,Chuvas Intensas,2016/2017,4777.9,2016-02-01,1.12,1.06,1.08,74100000,3638.679245283018,188679.24528301888,3898
2014-07-07,0,0,3857,739329.0,Chuvas Intensas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,352.23744292237444,67518.6301369863,3898
2011-07-20,0,0,0,0.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,,3898
1997-09-29,0,0,0,0.0,Enxurradas,1997/1998,23764.7,1997-10-12,8.25,7.47,8.68,74100000,,,3898
