Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-30,0,0,22822,0.0,Inundações,2023/2024,32.8,2023-06-16,4.36,3.87,3.8,87450100,5897.157622739018,,1492530,
2023-10-01,0,0,5246,500000.0,Chuvas Intensas,2023/2024,32.8,2023-06-16,4.36,3.87,3.8,87450100,1355.5555555555554,129198.96640826872,1492530,
2023-06-26,0,0,0,0.0,Chuvas Intensas,2023/2024,32.8,2023-06-16,4.36,3.87,3.8,87450100,,,1492530,
2018-03-02,0,0,0,0.0,Enxurradas,2018/2019,4.6,2018-05-22,1.04,1.02,1.04,87450100,,,1492530,
2017-12-08,0,0,484,0.0,Enxurradas,2017/2018,4.5,2017-08-20,1.02,1.02,1.04,87450100,474.5098039215686,,1492530,
2017-06-12,0,0,0,0.0,Inundações+Enxurradas,2017/2018,4.5,2017-08-20,1.02,1.02,1.04,87450100,,,1492530,
2015-10-22,0,0,9420,71837562.0,Inundações,2015/2016,15.4,2015-10-11,1.45,1.43,1.36,87450100,6587.412587412588,50236057.34265734,1492530,
2015-02-09,0,0,1757,0.0,Enxurradas,2015/2016,15.4,2015-10-11,1.45,1.43,1.36,87450100,1228.6713286713286,,1492530,
2023-11-30,0,0,22822,0.0,Inundações,2023/2024,,,,,,87401600,,,1492530,
2023-10-01,0,0,5246,500000.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,1492530,
2023-06-26,0,0,0,0.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,1492530,
2018-03-02,0,0,0,0.0,Enxurradas,2018/2019,2.3,2018-03-29,1.05,1.01,1.01,87401600,,,1492530,
2017-12-08,0,0,484,0.0,Enxurradas,2017/2018,10.6,2017-05-26,1.47,1.91,2.09,87401600,253.40314136125656,,1492530,
2017-06-12,0,0,0,0.0,Inundações+Enxurradas,2017/2018,10.6,2017-05-26,1.47,1.91,2.09,87401600,,,1492530,
2015-10-22,0,0,9420,71837562.0,Inundações,2015/2016,4.5,2015-11-28,1.1,1.04,1.05,87401600,9057.692307692309,69074578.84615384,1492530,
2015-02-09,0,0,1757,0.0,Enxurradas,2015/2016,4.5,2015-11-28,1.1,1.04,1.05,87401600,1689.423076923077,,1492530,
2023-11-30,0,0,22822,0.0,Inundações,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,2194.4230769230767,,1492530,
2023-10-01,0,0,5246,500000.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,504.4230769230769,48076.92307692308,1492530,
