Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2017-06-09,0,0,4028,2341900.0,Enxurradas,2017/2018,527.2,2017-04-26,28.5,19.94,5.62,74900000,202.00601805416247,117447.34202607824,4514,Sim
2017-05-24,0,0,4008,1000.0,Enxurradas,2017/2018,527.2,2017-04-26,28.5,19.94,5.62,74900000,201.0030090270812,50.15045135406218,4514,Sim
2014-10-15,0,0,5421,2449000.0,Enxurradas,2014/2015,517.2,2014-10-01,19.0,15.97,5.22,74900000,339.448966812774,153350.03130870382,4514,Sim
2014-07-04,0,5,5421,3665000.0,Inundações,2014/2015,517.2,2014-10-01,19.0,15.97,5.22,74900000,339.448966812774,229492.79899812143,4514,Sim
2003-01-20,0,0,0,0.0,Enxurradas,2003/2004,443.0,2003-12-15,5.7,4.21,3.1,74900000,,,4514,Sim
1997-10-12,0,0,0,0.0,Enxurradas,1997/1998,410.4,1997-10-30,2.71,2.76,2.51,74900000,,,4514,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,482.1,1992-05-28,8.14,7.94,4.05,74900000,,,4514,Sim
2017-06-09,0,0,4028,2341900.0,Enxurradas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,1307.7922077922078,760357.1428571428,4514,
2017-05-24,0,0,4008,1000.0,Enxurradas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,1301.2987012987012,324.67532467532465,4514,
2014-10-15,0,0,5421,2449000.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,450.249169435216,203405.31561461795,4514,
2014-07-04,0,5,5421,3665000.0,Inundações,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,450.249169435216,304401.99335548177,4514,
2003-01-20,0,0,0,0.0,Enxurradas,2003/2004,14408.0,2003-12-24,1.72,1.62,1.5,74800000,,,4514,
1997-10-12,0,0,0,0.0,Enxurradas,1997/1998,31788.0,1997-10-13,8.6,8.43,10.14,74800000,,,4514,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,48658.6,1992-05-31,43.0,37.1,95.03,74800000,,,4514,
