Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-20,0,0,1530,1132000.0,Inundações,2023/2024,431.8,2023-11-21,17.0,11.12,7.27,74700000,137.58992805755398,101798.56115107916,2332,Sim
2017-06-02,0,0,1980,202100.0,Inundações,2017/2018,418.2,2017-05-25,8.5,9.01,6.48,74700000,219.7558268590455,22430.63263041065,2332,Sim
2015-12-04,0,0,300,75211.0,Enxurradas,2015/2016,426.4,2015-12-15,12.14,10.22,6.95,74700000,29.35420743639921,7359.197651663405,2332,Sim
2015-07-24,0,0,2568,627810.0,Inundações,2015/2016,426.4,2015-12-15,12.14,10.22,6.95,74700000,251.2720156555773,61429.54990215264,2332,Sim
2014-10-15,0,0,2501,8780.0,Enxurradas,2014/2015,579.7,2014-10-01,85.0,245.78,26.63,74700000,10.175766946049311,35.723004312800064,2332,Sim
2014-07-04,0,0,2501,1728300.0,Inundações,2014/2015,579.7,2014-10-01,85.0,245.78,26.63,74700000,10.175766946049311,7031.898445764505,2332,Sim
2023-10-20,0,0,1530,1132000.0,Inundações,2023/2024,1292.1,2023-11-18,14.5,10.6,11.79,74610000,144.33962264150944,106792.45283018867,2332,
2017-06-02,0,0,1980,202100.0,Inundações,2017/2018,1144.8,2017-04-27,5.8,6.71,7.08,74610000,295.08196721311475,30119.225037257824,2332,
2015-12-04,0,0,300,75211.0,Enxurradas,2015/2016,808.6,2015-01-02,2.23,2.51,2.46,74610000,119.52191235059762,29964.541832669325,2332,
2015-07-24,0,0,2568,627810.0,Inundações,2015/2016,808.6,2015-01-02,2.23,2.51,2.46,74610000,1023.1075697211156,250123.50597609565,2332,
2014-10-15,0,0,2501,8780.0,Enxurradas,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,31.929018256096004,112.0898761649432,2332,
2014-07-04,0,0,2501,1728300.0,Inundações,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,31.929018256096004,22064.343163538877,2332,
2023-10-20,0,0,1530,1132000.0,Inundações,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,523.9726027397261,387671.23287671234,2332,
2017-06-02,0,0,1980,202100.0,Inundações,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,712.2302158273382,72697.84172661872,2332,
2015-12-04,0,0,300,75211.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,104.8951048951049,26297.552447552447,2332,
2015-07-24,0,0,2568,627810.0,Inundações,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,897.9020979020979,219513.986013986,2332,
2014-10-15,0,0,2501,8780.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,809.3851132686085,2841.4239482200646,2332,
2014-07-04,0,0,2501,1728300.0,Inundações,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,809.3851132686085,559320.3883495146,2332,
2023-10-20,0,0,1530,1132000.0,Inundações,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,45.2395032525133,33471.318746303965,2332,
2017-06-02,0,0,1980,202100.0,Inundações,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,642.8571428571429,65616.88311688311,2332,
2015-12-04,0,0,300,75211.0,Enxurradas,2015/2016,21891.0,2015-07-16,2.69,3.26,3.05,74800000,92.02453987730064,23070.85889570552,2332,
2015-07-24,0,0,2568,627810.0,Inundações,2015/2016,21891.0,2015-07-16,2.69,3.26,3.05,74800000,787.7300613496933,192579.754601227,2332,
2014-10-15,0,0,2501,8780.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,207.7242524916944,729.2358803986712,2332,
2014-07-04,0,0,2501,1728300.0,Inundações,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,207.7242524916944,143546.511627907,2332,
