Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-25,0,0,996,0.0,Inundações,2023/2024,165.4,2023-11-18,7.0,6.33,5.64,74750000,157.34597156398104,,1258,
2017-06-02,0,0,521,730244.0,Inundações,2017/2018,210.7,2017-04-25,31.5,32.8,17.11,74750000,15.884146341463415,22263.53658536585,1258,
2014-10-03,0,0,11,200000.0,Inundações,2014/2015,268.4,2014-09-30,63.0,445.5,74.83,74750000,0.0246913580246913,448.9337822671156,1258,
2014-07-03,0,0,163,265280.0,Inundações,2014/2015,268.4,2014-09-30,63.0,445.5,74.83,74750000,0.3658810325476992,595.4657687991021,1258,
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,74.4,1993-06-17,1.15,1.14,1.14,74750000,,,1258,
2023-10-25,0,0,996,0.0,Inundações,2023/2024,431.8,2023-11-21,17.0,11.12,7.27,74700000,89.56834532374101,,1258,Sim
2017-06-02,0,0,521,730244.0,Inundações,2017/2018,418.2,2017-05-25,8.5,9.01,6.48,74700000,57.82463928967814,81048.16870144285,1258,Sim
2014-10-03,0,0,11,200000.0,Inundações,2014/2015,579.7,2014-10-01,85.0,245.78,26.63,74700000,0.0447554723736675,813.7358613394092,1258,Sim
2014-07-03,0,0,163,265280.0,Inundações,2014/2015,579.7,2014-10-01,85.0,245.78,26.63,74700000,0.6631947269916185,1079.3392464805925,1258,Sim
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,288.7,1993-07-05,2.3,2.13,2.37,74700000,,,1258,Sim
2023-10-25,0,0,996,0.0,Inundações,2023/2024,1292.1,2023-11-18,14.5,10.6,11.79,74610000,93.9622641509434,,1258,
2017-06-02,0,0,521,730244.0,Inundações,2017/2018,1144.8,2017-04-27,5.8,6.71,7.08,74610000,77.64530551415797,108829.21013412817,1258,
2014-10-03,0,0,11,200000.0,Inundações,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,0.1404315077237329,2553.300140431508,1258,
2014-07-03,0,0,163,265280.0,Inundações,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,2.0809396144516787,3386.697306268352,1258,
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,,,,,,74610000,,,1258,
2023-10-25,0,0,996,0.0,Inundações,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,341.09589041095893,,1258,
2017-06-02,0,0,521,730244.0,Inundações,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,187.41007194244605,262677.69784172665,1258,
2014-10-03,0,0,11,200000.0,Inundações,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,3.5598705501618126,64724.91909385114,1258,
2014-07-03,0,0,163,265280.0,Inundações,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,52.750809061488674,85851.13268608415,1258,
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,,,,,,74500000,,,1258,
2023-10-25,0,0,996,0.0,Inundações,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,29.450029568302774,,1258,
2017-06-02,0,0,521,730244.0,Inundações,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,169.15584415584416,237092.20779220777,1258,
2014-10-03,0,0,11,200000.0,Inundações,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,0.913621262458472,16611.295681063126,1258,
2014-07-03,0,0,163,265280.0,Inundações,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,13.538205980066444,22033.22259136213,1258,
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,26346.6,1993-07-07,5.38,5.02,5.13,74800000,,,1258,
