Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-24,0,0,10558,2715000.0,Inundações,2023/2024,482.9,2023-11-18,9.5,8.05,4.07,74900000,1311.552795031056,337267.0807453416,10144
2023-10-23,0,0,10558,3019440.0,Chuvas Intensas,2023/2024,482.9,2023-11-18,9.5,8.05,4.07,74900000,1311.552795031056,375085.7142857143,10144
2017-06-03,0,0,4161,504008.0,Chuvas Intensas,2017/2018,527.2,2017-04-26,28.5,19.94,5.62,74900000,208.67602808425275,25276.228686058173,10144
2015-07-26,0,0,1410,239179.0,Inundações,2015/2016,528.9,2015-12-15,57.0,20.73,5.69,74900000,68.01736613603472,11537.819585142306,10144
2014-07-07,0,0,10560,5174600.0,Inundações,2014/2015,517.2,2014-10-01,19.0,15.97,5.22,74900000,661.2398246712586,324020.0375704446,10144
2011-04-23,0,0,0,0.0,Enxurradas,2011/2012,392.9,2011-04-23,2.04,2.29,2.25,74900000,,,10144
2002-10-23,0,0,0,54207.0,Enxurradas,2002/2003,404.3,2002-08-21,2.48,2.58,2.41,74900000,,21010.46511627907,10144
1997-10-05,0,0,0,0.0,Enxurradas,1997/1998,410.4,1997-10-30,2.71,2.76,2.51,74900000,,,10144
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,401.2,1994-04-25,2.19,2.5,2.37,74900000,,,10144
1992-06-02,0,0,0,0.0,Inundações,1992/1993,482.1,1992-05-28,8.14,7.94,4.05,74900000,,,10144
2023-11-24,0,0,10558,2715000.0,Inundações,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,312.1821407451212,80277.94204612655,10144
2023-10-23,0,0,10558,3019440.0,Chuvas Intensas,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,312.1821407451212,89279.71614429331,10144
2017-06-03,0,0,4161,504008.0,Chuvas Intensas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,1350.9740259740258,163638.96103896105,10144
2015-07-26,0,0,1410,239179.0,Inundações,2015/2016,21891.0,2015-07-16,2.69,3.26,3.05,74800000,432.5153374233129,73367.79141104296,10144
2014-07-07,0,0,10560,5174600.0,Inundações,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,877.076411960133,429784.0531561462,10144
2011-04-23,0,0,0,0.0,Enxurradas,2011/2012,28507.0,2011-07-23,7.17,6.17,6.69,74800000,,,10144
2002-10-23,0,0,0,54207.0,Enxurradas,2002/2003,15330.5,2002-09-20,1.79,1.75,1.62,74800000,,30975.42857142857,10144
1997-10-05,0,0,0,0.0,Enxurradas,1997/1998,31788.0,1997-10-13,8.6,8.43,10.14,74800000,,,10144
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,18737.5,1994-07-07,2.05,2.4,2.2,74800000,,,10144
1992-06-02,0,0,0,0.0,Inundações,1992/1993,48658.6,1992-05-31,43.0,37.1,95.03,74800000,,,10144
2023-11-24,0,0,10558,2715000.0,Inundações,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,187.46448863636363,48206.67613636364,10144
2023-10-23,0,0,10558,3019440.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,187.46448863636363,53612.21590909091,10144
2017-06-03,0,0,4161,504008.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,520.775969962453,63079.84981226533,10144
2015-07-26,0,0,1410,239179.0,Inundações,2015/2016,19662.9,2015-07-18,4.0,4.56,4.49,75550000,309.2105263157895,52451.535087719305,10144
2014-07-07,0,0,10560,5174600.0,Inundações,2014/2015,25490.1,2014-06-30,10.67,14.69,11.51,75550000,718.8563648740641,352253.2334921716,10144
2011-04-23,0,0,0,0.0,Enxurradas,2011/2012,15718.3,2011-07-24,2.91,2.43,2.53,75550000,,,10144
2002-10-23,0,0,0,54207.0,Enxurradas,2002/2003,,,,,,75550000,,,10144
1997-10-05,0,0,0,0.0,Enxurradas,1997/1998,,,,,,75550000,,,10144
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,14420.3,1994-07-08,2.0,2.04,2.14,75550000,,,10144
1992-06-02,0,0,0,0.0,Inundações,1992/1993,22574.1,1992-06-01,6.4,7.94,7.12,75550000,,,10144
