Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-18,0,0,80,45286.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,1586
2010-01-04,0,0,1275,1023800.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,278.99343544857766,224026.2582056893,1586
2001-07-23,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,1586
2000-02-23,0,0,0,0.0,Inundações,2000/2001,,,,,,86895000,,,1586
1992-07-15,0,0,0,0.0,Inundações,1992/1993,7977.1,1992-05-29,5.56,5.64,4.54,86895000,,,1586
2023-11-18,0,0,80,45286.0,Chuvas Intensas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,47.33727810650888,26796.44970414201,1586
2010-01-04,0,0,1275,1023800.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,11.99661272111404,9633.044787354158,1586
2001-07-23,0,0,0,0.0,Enxurradas,2001/2002,1257.8,2001-07-20,34.0,89.56,107.74,86745000,,,1586
2000-02-23,0,0,0,0.0,Inundações,2000/2001,486.2,2000-10-13,2.52,2.32,2.32,86745000,,,1586
1992-07-15,0,0,0,0.0,Inundações,1992/1993,228.9,1992-05-28,1.11,1.13,1.12,86745000,,,1586
