Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-17,0,0,5340,2784800.0,Enxurradas,2023/2024,,,,,,86895000,,,6235
2019-10-31,0,0,1835,2422600.0,Enxurradas,2019/2020,,,,,,86895000,,,6235
2018-11-30,0,0,1584,1946000.0,Enxurradas,2018/2019,,,,,,86895000,,,6235
2017-06-08,0,0,6163,1875.0,Enxurradas,2017/2018,,,,,,86895000,,,6235
2015-12-24,0,0,4963,1135214.0,Enxurradas,2015/2016,,,,,,86895000,,,6235
2010-01-04,0,0,6042,0.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,1322.100656455142,,6235
2009-11-26,0,0,0,0.0,Inundações,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,,,6235
2008-03-18,0,0,0,0.0,Inundações,2008/2009,8579.9,2008-10-27,12.5,9.12,5.91,86895000,,,6235
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,6235
2000-02-23,0,0,0,0.0,Inundações,2000/2001,,,,,,86895000,,,6235
