Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-04,0,0,2025,1100000.0,Enxurradas,2023/2024,325.9,2023-09-04,33.5,62.16,195.6,86420000,32.57722007722008,17696.267696267696,1929
2017-06-07,0,0,0,80000.0,Inundações,2017/2018,112.8,2017-06-08,2.23,2.44,2.28,86420000,,32786.88524590164,1929
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,109.1,1998-08-15,2.16,2.3,2.15,86420000,,,1929
1994-11-09,0,0,0,0.0,Enxurradas,1994/1995,158.1,1994-10-24,5.58,5.01,5.25,86420000,,,1929
2023-09-04,0,0,2025,1100000.0,Enxurradas,2023/2024,2931.9,2023-11-18,69.0,83.5,131.89,86410000,24.251497005988025,13173.65269461078,1929
2017-06-07,0,0,0,80000.0,Inundações,2017/2018,767.2,2017-06-08,1.68,1.68,1.63,86410000,,47619.04761904762,1929
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,1089.4,1998-02-01,2.76,2.74,2.7,86410000,,,1929
1994-11-09,0,0,0,0.0,Enxurradas,1994/1995,684.9,1994-07-02,1.5,1.51,1.47,86410000,,,1929
2023-09-04,0,0,2025,1100000.0,Enxurradas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,239.3617021276596,130023.64066193852,1929
2017-06-07,0,0,0,80000.0,Inundações,2017/2018,4633.7,2017-06-08,1.62,1.6,1.64,86510000,,50000.0,1929
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,5160.6,1998-08-15,1.79,1.84,1.89,86510000,,,1929
1994-11-09,0,0,0,0.0,Enxurradas,1994/1995,4167.0,1994-07-02,1.48,1.44,1.47,86510000,,,1929
2023-09-04,0,0,2025,1100000.0,Enxurradas,2023/2024,325.9,2023-09-04,33.5,62.16,195.6,86420000,32.57722007722008,17696.267696267696,1929
2017-06-07,0,0,0,80000.0,Inundações,2017/2018,112.8,2017-06-08,2.23,2.44,2.28,86420000,,32786.88524590164,1929
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,109.1,1998-08-15,2.16,2.3,2.15,86420000,,,1929
1994-11-09,0,0,0,0.0,Enxurradas,1994/1995,158.1,1994-10-24,5.58,5.01,5.25,86420000,,,1929
2023-09-04,0,0,2025,1100000.0,Enxurradas,2023/2024,2931.9,2023-11-18,69.0,83.5,131.89,86410000,24.251497005988025,13173.65269461078,1929
2017-06-07,0,0,0,80000.0,Inundações,2017/2018,767.2,2017-06-08,1.68,1.68,1.63,86410000,,47619.04761904762,1929
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,1089.4,1998-02-01,2.76,2.74,2.7,86410000,,,1929
1994-11-09,0,0,0,0.0,Enxurradas,1994/1995,684.9,1994-07-02,1.5,1.51,1.47,86410000,,,1929
