Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2022-04-28,0,0,908,2170000.0,Inundações,2022/2023,2467.2,2022-04-27,3.67,5.42,5.57,77500000,167.52767527675277,400369.0036900369,22531,Sim
2019-01-11,0,0,4732,676650.0,Chuvas Intensas,2019/2020,1316.9,2019-01-19,1.5,1.58,1.54,77500000,2994.936708860759,428259.493670886,22531,Sim
2018-05-07,0,0,4522,244975.0,Chuvas Intensas,2018/2019,1031.2,2018-05-05,1.32,1.27,1.25,77500000,3560.6299212598424,192893.7007874016,22531,Sim
2017-09-20,0,0,4916,353500.0,Inundações,2017/2018,3347.2,2017-04-11,11.0,15.59,18.66,77500000,315.3303399615138,22674.791533034,22531,Sim
2017-04-11,0,0,1087,2948500.0,Inundações,2017/2018,3347.2,2017-04-11,11.0,15.59,18.66,77500000,69.72418216805644,189127.6459268762,22531,Sim
2016-04-27,0,0,250,1500000.0,Chuvas Intensas,2016/2017,1797.6,2016-04-21,2.54,2.53,2.45,77500000,98.81422924901186,592885.3754940712,22531,Sim
2015-12-24,1,9,3727,4980717.0,Inundações,2015/2016,2065.7,2015-12-23,2.75,3.4,3.35,77500000,1096.1764705882354,1464916.7647058824,22531,Sim
2012-10-09,0,0,5480,0.0,Inundações,2012/2013,2534.2,2012-10-10,4.12,5.87,6.08,77500000,933.5604770017036,,22531,Sim
2010-01-19,0,0,0,0.0,Inundações,2010/2011,1387.8,2010-07-20,1.74,1.69,1.63,77500000,,,22531,Sim
2009-11-07,0,0,2123,0.0,Inundações,2009/2010,2586.7,2009-11-24,5.5,6.25,6.53,77500000,339.68,,22531,Sim
2003-04-27,0,0,624,0.0,Inundações,2003/2004,2148.8,2003-04-29,3.0,3.74,3.71,77500000,166.84491978609626,,22531,Sim
2002-09-11,0,0,2940,0.0,Inundações,2002/2003,2643.4,2002-04-25,6.6,6.69,7.04,77500000,439.4618834080717,,22531,Sim
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,3746.7,2001-06-02,33.0,25.16,32.95,77500000,,,22531,Sim
1993-05-12,0,0,0,0.0,Inundações,1993/1994,2545.4,1993-05-11,4.71,5.95,6.18,77500000,,,22531,Sim
1992-04-16,0,0,0,0.0,Inundações,1992/1993,,,,,,77500000,,,22531,Sim
1991-04-26,0,0,0,0.0,Enxurradas,1991/1992,,,,,,77500000,,,22531,Sim
2022-04-28,0,0,908,2170000.0,Inundações,2022/2023,2467.2,2022-04-27,3.67,5.42,5.57,77500000,167.52767527675277,400369.0036900369,22531,Sim
2019-01-11,0,0,4732,676650.0,Chuvas Intensas,2019/2020,1316.9,2019-01-19,1.5,1.58,1.54,77500000,2994.936708860759,428259.493670886,22531,Sim
2018-05-07,0,0,4522,244975.0,Chuvas Intensas,2018/2019,1031.2,2018-05-05,1.32,1.27,1.25,77500000,3560.6299212598424,192893.7007874016,22531,Sim
2017-09-20,0,0,4916,353500.0,Inundações,2017/2018,3347.2,2017-04-11,11.0,15.59,18.66,77500000,315.3303399615138,22674.791533034,22531,Sim
2017-04-11,0,0,1087,2948500.0,Inundações,2017/2018,3347.2,2017-04-11,11.0,15.59,18.66,77500000,69.72418216805644,189127.6459268762,22531,Sim
2016-04-27,0,0,250,1500000.0,Chuvas Intensas,2016/2017,1797.6,2016-04-21,2.54,2.53,2.45,77500000,98.81422924901186,592885.3754940712,22531,Sim
2015-12-24,1,9,3727,4980717.0,Inundações,2015/2016,2065.7,2015-12-23,2.75,3.4,3.35,77500000,1096.1764705882354,1464916.7647058824,22531,Sim
2012-10-09,0,0,5480,0.0,Inundações,2012/2013,2534.2,2012-10-10,4.12,5.87,6.08,77500000,933.5604770017036,,22531,Sim
2010-01-19,0,0,0,0.0,Inundações,2010/2011,1387.8,2010-07-20,1.74,1.69,1.63,77500000,,,22531,Sim
2009-11-07,0,0,2123,0.0,Inundações,2009/2010,2586.7,2009-11-24,5.5,6.25,6.53,77500000,339.68,,22531,Sim
2003-04-27,0,0,624,0.0,Inundações,2003/2004,2148.8,2003-04-29,3.0,3.74,3.71,77500000,166.84491978609626,,22531,Sim
2002-09-11,0,0,2940,0.0,Inundações,2002/2003,2643.4,2002-04-25,6.6,6.69,7.04,77500000,439.4618834080717,,22531,Sim
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,3746.7,2001-06-02,33.0,25.16,32.95,77500000,,,22531,Sim
1993-05-12,0,0,0,0.0,Inundações,1993/1994,2545.4,1993-05-11,4.71,5.95,6.18,77500000,,,22531,Sim
1992-04-16,0,0,0,0.0,Inundações,1992/1993,,,,,,77500000,,,22531,Sim
1991-04-26,0,0,0,0.0,Enxurradas,1991/1992,,,,,,77500000,,,22531,Sim
