Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-10,0,0,9738,67000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,3334.931506849315,22945.20547945205,11782
2017-06-02,0,0,8050,1510000.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,2895.68345323741,543165.4676258994,11782
2014-07-18,0,0,3120,2319125.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,1009.7087378640778,750525.8899676376,11782
2010-04-04,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,11782
2009-12-04,0,0,0,2150000.0,Enxurradas,2009/2010,,,,,,74500000,,,11782
2003-03-01,0,0,0,0.0,Enxurradas,2003/2004,,,,,,74500000,,,11782
1998-11-13,0,0,0,0.0,Enxurradas,1998/1999,,,,,,74500000,,,11782
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,,,,,,74500000,,,11782
1997-10-11,0,0,0,0.0,Enxurradas,1997/1998,,,,,,74500000,,,11782
2023-10-10,0,0,9738,67000.0,Chuvas Intensas,2023/2024,476.2,2023-11-17,3.26,3.23,3.25,74470000,3014.860681114551,20743.03405572756,11782
2017-06-02,0,0,8050,1510000.0,Enxurradas,2017/2018,759.3,2017-06-08,15.5,17.72,17.82,74470000,454.2889390519188,85214.44695259594,11782
2014-07-18,0,0,3120,2319125.0,Enxurradas,2014/2015,841.5,2014-10-01,31.0,30.12,30.12,74470000,103.58565737051792,76996.18193891102,11782
2010-04-04,0,0,0,0.0,Enxurradas,2010/2011,395.6,2010-05-18,2.14,2.16,2.16,74470000,,,11782
2009-12-04,0,0,0,2150000.0,Enxurradas,2009/2010,587.8,2009-11-22,5.17,6.1,6.16,74470000,,352459.01639344264,11782
2003-03-01,0,0,0,0.0,Enxurradas,2003/2004,168.6,2003-12-15,1.11,1.07,1.07,74470000,,,11782
1998-11-13,0,0,0,0.0,Enxurradas,1998/1999,715.4,1998-03-18,12.4,13.39,13.5,74470000,,,11782
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,715.4,1998-03-18,12.4,13.39,13.5,74470000,,,11782
1997-10-11,0,0,0,0.0,Enxurradas,1997/1998,640.0,1997-08-03,6.89,8.36,8.45,74470000,,,11782
2023-10-10,0,0,9738,67000.0,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,2624.797843665768,18059.299191374663,11782
2017-06-02,0,0,8050,1510000.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,683.3616298811545,128183.36162988115,11782
2014-07-18,0,0,3120,2319125.0,Enxurradas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,54.41227764213463,40445.15172654342,11782
2010-04-04,0,0,0,0.0,Enxurradas,2010/2011,678.1,2010-05-18,3.1,3.67,3.73,74370000,,,11782
2009-12-04,0,0,0,2150000.0,Enxurradas,2009/2010,641.5,2009-11-22,2.7,3.09,3.15,74370000,,695792.8802588998,11782
2003-03-01,0,0,0,0.0,Enxurradas,2003/2004,373.1,2003-12-16,1.24,1.23,1.23,74370000,,,11782
1998-11-13,0,0,0,0.0,Enxurradas,1998/1999,909.0,1998-05-14,12.4,12.66,11.95,74370000,,,11782
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,909.0,1998-05-14,12.4,12.66,11.95,74370000,,,11782
1997-10-11,0,0,0,0.0,Enxurradas,1997/1998,795.9,1997-08-03,5.17,6.72,6.65,74370000,,,11782
