Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-18,0,0,241,1050000.0,Inundações,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,13.615819209039548,59322.03389830509,38257,Sim
2015-12-29,0,0,369,0.0,Inundações,2015/2016,7423.3,2015-10-17,39.5,49.47,26.54,85900000,7.459066100667071,,38257,Sim
2015-10-13,0,0,610,565369.0,Inundações,2015/2016,7423.3,2015-10-17,39.5,49.47,26.54,85900000,12.330705478067516,11428.52233676976,38257,Sim
2015-07-24,0,0,128,0.0,Chuvas Intensas,2015/2016,7423.3,2015-10-17,39.5,49.47,26.54,85900000,2.5874267232666264,,38257,Sim
2014-07-01,0,0,98,0.0,Inundações,2014/2015,4096.0,2014-07-05,2.14,2.38,2.5,85900000,41.1764705882353,,38257,Sim
2013-11-14,0,0,98,0.0,Chuvas Intensas,2013/2014,4798.3,2013-11-16,3.29,3.88,3.91,85900000,25.25773195876289,,38257,Sim
2013-11-04,0,0,0,249999.99,Inundações,2013/2014,4798.3,2013-11-16,3.29,3.88,3.91,85900000,,64432.98711340206,38257,Sim
2009-11-22,0,0,11995,1510000.0,Inundações,2009/2010,5872.9,2009-11-26,13.17,9.78,8.32,85900000,1226.482617586912,154396.72801635994,38257,Sim
2002-10-11,0,0,338,927950.0,Inundações,2002/2003,5488.8,2002-10-14,7.9,6.87,6.31,85900000,49.19941775836972,135072.78020378455,38257,Sim
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,4162.7,2001-10-06,2.19,2.48,2.61,85900000,,,38257,Sim
2001-01-04,0,0,0,0.0,Enxurradas,2001/2002,4162.7,2001-10-06,2.19,2.48,2.61,85900000,,,38257,Sim
2023-09-18,0,0,241,1050000.0,Inundações,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,13.615819209039548,59322.03389830509,38257,Sim
2015-12-29,0,0,369,0.0,Inundações,2015/2016,7423.3,2015-10-17,39.5,49.47,26.54,85900000,7.459066100667071,,38257,Sim
2015-10-13,0,0,610,565369.0,Inundações,2015/2016,7423.3,2015-10-17,39.5,49.47,26.54,85900000,12.330705478067516,11428.52233676976,38257,Sim
2015-07-24,0,0,128,0.0,Chuvas Intensas,2015/2016,7423.3,2015-10-17,39.5,49.47,26.54,85900000,2.5874267232666264,,38257,Sim
2014-07-01,0,0,98,0.0,Inundações,2014/2015,4096.0,2014-07-05,2.14,2.38,2.5,85900000,41.1764705882353,,38257,Sim
2013-11-14,0,0,98,0.0,Chuvas Intensas,2013/2014,4798.3,2013-11-16,3.29,3.88,3.91,85900000,25.25773195876289,,38257,Sim
2013-11-04,0,0,0,249999.99,Inundações,2013/2014,4798.3,2013-11-16,3.29,3.88,3.91,85900000,,64432.98711340206,38257,Sim
2009-11-22,0,0,11995,1510000.0,Inundações,2009/2010,5872.9,2009-11-26,13.17,9.78,8.32,85900000,1226.482617586912,154396.72801635994,38257,Sim
2002-10-11,0,0,338,927950.0,Inundações,2002/2003,5488.8,2002-10-14,7.9,6.87,6.31,85900000,49.19941775836972,135072.78020378455,38257,Sim
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,4162.7,2001-10-06,2.19,2.48,2.61,85900000,,,38257,Sim
2001-01-04,0,0,0,0.0,Enxurradas,2001/2002,4162.7,2001-10-06,2.19,2.48,2.61,85900000,,,38257,Sim
