Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-20,0,0,4473,3650000.0,Chuvas Intensas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,79.6474358974359,64992.877492877495,4698,Sim
2023-06-19,0,0,4327,980000.0,Chuvas Intensas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,77.0477207977208,17450.14245014245,4698,Sim
2018-09-10,0,0,915,1261000.0,Enxurradas,2018/2019,415.8,2018-09-04,3.75,2.99,2.97,87374000,306.02006688963206,421739.1304347826,4698,Sim
2017-01-09,0,0,810,9615466.0,Enxurradas,2017/2018,387.7,2017-06-03,2.73,2.29,2.43,87374000,353.7117903930131,4198893.449781659,4698,Sim
2015-07-22,0,0,10,4090234.0,Enxurradas,2015/2016,504.1,2015-07-21,7.5,9.83,5.96,87374000,1.017293997965412,416097.0498474058,4698,Sim
2013-10-04,0,0,47,5866000.0,Enxurradas,2013/2014,540.8,2013-08-27,10.0,19.08,8.11,87374000,2.4633123689727467,307442.34800838574,4698,Sim
2011-07-21,0,0,0,0.0,Enxurradas,2011/2012,406.3,2011-07-21,3.33,2.72,2.77,87374000,,,4698,Sim
2011-01-05,0,0,0,0.0,Enxurradas,2011/2012,406.3,2011-07-21,3.33,2.72,2.77,87374000,,,4698,Sim
2010-12-13,0,0,0,202500.0,Enxurradas,2010/2011,346.3,2010-07-23,1.67,1.69,1.86,87374000,,119822.4852071006,4698,Sim
2010-11-16,0,0,0,0.0,Enxurradas,2010/2011,346.3,2010-07-23,1.67,1.69,1.86,87374000,,,4698,Sim
2005-08-17,0,0,0,0.0,Movimento de Massa,2005/2006,385.5,2005-09-01,2.5,2.25,2.39,87374000,,,4698,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,361.1,2001-07-21,2.0,1.86,2.04,87374000,,,4698,Sim
2001-01-29,0,0,0,0.0,Enxurradas,2001/2002,361.1,2001-07-21,2.0,1.86,2.04,87374000,,,4698,Sim
