Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-20,0,0,563,60250000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,41.12490869247626,4401022.644265887,11556,
2023-09-04,0,0,0,0.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,,,11556,
2020-07-11,0,1,2241,11980000.0,Inundações,2020/2021,14003.0,2020-07-08,69.0,21.5,22.19,86720000,104.23255813953487,557209.3023255814,11556,
2013-08-26,0,0,11,0.0,Alagamentos,2013/2014,9120.5,2013-08-25,3.29,4.32,4.37,86720000,2.5462962962962963,,11556,
2008-10-27,0,0,725,1510000.0,Inundações,2008/2009,12193.7,2008-10-26,7.67,11.64,11.94,86720000,62.28522336769759,129725.08591065292,11556,
1994-05-03,0,0,0,0.0,Enxurradas,1994/1995,4236.9,1994-07-02,1.33,1.31,1.3,86720000,,,11556,
1992-11-16,0,0,0,0.0,Enxurradas,1992/1993,12126.5,1992-05-28,6.9,11.38,11.67,86720000,,,11556,
2023-11-20,0,0,563,60250000.0,Chuvas Intensas,2023/2024,2273.8,2023-09-04,7.82,7.64,8.98,86580000,73.69109947643979,7886125.654450262,11556,Sim
2023-09-04,0,0,0,0.0,Chuvas Intensas,2023/2024,2273.8,2023-09-04,7.82,7.64,8.98,86580000,,,11556,Sim
2020-07-11,0,1,2241,11980000.0,Inundações,2020/2021,5077.1,2020-07-08,86.0,134.94,832.16,86580000,16.607381058248112,88780.19860678821,11556,Sim
2013-08-26,0,0,11,0.0,Alagamentos,2013/2014,1816.0,2013-08-25,4.53,4.48,4.53,86580000,2.455357142857143,,11556,Sim
2008-10-27,0,0,725,1510000.0,Inundações,2008/2009,2665.5,2008-10-26,12.29,11.93,16.59,86580000,60.77116512992456,126571.66806370494,11556,Sim
1994-05-03,0,0,0,0.0,Enxurradas,1994/1995,1060.6,1994-07-07,1.95,1.88,1.73,86580000,,,11556,Sim
1992-11-16,0,0,0,0.0,Enxurradas,1992/1993,3606.1,1992-05-28,21.5,32.76,75.44,86580000,,,11556,Sim
2023-11-20,0,0,563,60250000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,66.54846335697398,7121749.40898345,11556,
2023-09-04,0,0,0,0.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,,,11556,
2020-07-11,0,1,2241,11980000.0,Inundações,2020/2021,10536.6,2020-07-08,9.56,14.83,13.15,86510000,151.11260957518545,807821.9824679703,11556,
2013-08-26,0,0,11,0.0,Alagamentos,2013/2014,7855.0,2013-08-25,4.1,4.6,4.62,86510000,2.391304347826088,,11556,
2008-10-27,0,0,725,1510000.0,Inundações,2008/2009,10669.4,2008-10-27,14.33,15.78,13.88,86510000,45.944233206590624,95690.74778200254,11556,
1994-05-03,0,0,0,0.0,Enxurradas,1994/1995,4167.0,1994-07-02,1.48,1.44,1.47,86510000,,,11556,
1992-11-16,0,0,0,0.0,Enxurradas,1992/1993,8658.1,1992-05-28,5.38,6.4,6.26,86510000,,,11556,
