Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-20,0,0,6654,2233000.0,Chuvas Intensas,2023/2024,358.0,2023-09-04,16.5,31.9,12.27,74205000,208.58934169279,70000.0,5868,Sim
2014-07-03,0,0,1048,40000.0,Enxurradas,2014/2015,317.9,2014-06-27,11.0,11.5,7.46,74205000,91.1304347826087,3478.260869565217,5868,Sim
2011-07-01,0,0,0,0.0,Enxurradas,2011/2012,283.0,2011-07-21,5.08,5.61,4.92,74205000,,,5868,Sim
2010-12-12,0,0,0,148000.0,Enxurradas,2010/2011,226.6,2010-06-18,2.44,2.41,2.64,74205000,,61410.788381742736,5868,Sim
2009-11-25,0,0,0,820000.0,Enxurradas,2009/2010,195.1,2009-09-12,1.78,1.75,1.95,74205000,,468571.4285714286,5868,Sim
2023-11-20,0,0,6654,2233000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,2278.7671232876714,764726.0273972603,5868,
2014-07-03,0,0,1048,40000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,339.15857605178,12944.983818770228,5868,
2011-07-01,0,0,0,0.0,Enxurradas,2011/2012,,,,,,74500000,,,5868,
2010-12-12,0,0,0,148000.0,Enxurradas,2010/2011,,,,,,74500000,,,5868,
2009-11-25,0,0,0,820000.0,Enxurradas,2009/2010,,,,,,74500000,,,5868,
2023-11-20,0,0,6654,2233000.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,2464.4444444444443,827037.037037037,5868,
2014-07-03,0,0,1048,40000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,43.074393752568845,1644.0608302507194,5868,
2011-07-01,0,0,0,0.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,,,5868,
2010-12-12,0,0,0,148000.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,38242.894056847545,5868,
2009-11-25,0,0,0,820000.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,377880.1843317973,5868,
