Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-22,0,0,21253,6470000.0,Chuvas Intensas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,378.4366096866097,115206.55270655271,21591
2023-06-19,0,0,21591,9149999.99,Enxurradas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,384.4551282051282,162927.35024928776,21591
2017-01-08,0,0,6604,33578405.0,Enxurradas,2017/2018,387.7,2017-06-03,2.73,2.29,2.43,87374000,2883.842794759825,14663058.951965066,21591
2015-07-17,0,0,989,3126419.0,Enxurradas,2015/2016,504.1,2015-07-21,7.5,9.83,5.96,87374000,100.61037639877924,318048.72838250257,21591
2013-09-24,0,0,347,2173472.0,Enxurradas,2013/2014,540.8,2013-08-27,10.0,19.08,8.11,87374000,18.18658280922432,113913.62683438156,21591
2011-04-23,0,0,8695,0.0,Enxurradas,2011/2012,406.3,2011-07-21,3.33,2.72,2.77,87374000,3196.691176470588,,21591
2010-07-22,0,0,47,6021199.99,Movimento de Massa,2010/2011,346.3,2010-07-23,1.67,1.69,1.86,87374000,27.810650887573967,3562840.230769231,21591
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,361.1,2001-07-21,2.0,1.86,2.04,87374000,,,21591
2001-01-29,0,0,0,0.0,Enxurradas,2001/2002,361.1,2001-07-21,2.0,1.86,2.04,87374000,,,21591
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,,,,,,87374000,,,21591
