Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-02,0,0,10228,41289.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,3788.148148148148,15292.22222222222,10633,
2023-10-17,0,0,1700,6500.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,629.6296296296296,2407.4074074074074,10633,
2017-06-05,0,0,50,185000.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,9.433962264150944,34905.660377358494,10633,
2016-01-22,0,0,0,0.0,Enxurradas,2016/2017,1134.1,2016-10-21,1.27,1.27,1.26,74270000,,,10633,
2013-01-28,0,0,2100,1481291.1,Enxurradas,2013/2014,2089.7,2013-08-26,2.43,2.44,2.39,74270000,860.655737704918,607086.5163934426,10633,
2011-03-25,0,0,0,0.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,,,10633,
2010-11-11,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,10633,
2010-01-06,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,10633,
2009-12-07,0,0,0,0.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,,10633,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,6038.2,1992-05-29,85.0,105.3,160.11,74270000,,,10633,
2023-11-02,0,0,10228,41289.0,Chuvas Intensas,2023/2024,358.0,2023-09-04,16.5,31.9,12.27,74205000,320.6269592476489,1294.3260188087777,10633,Sim
2023-10-17,0,0,1700,6500.0,Chuvas Intensas,2023/2024,358.0,2023-09-04,16.5,31.9,12.27,74205000,53.29153605015674,203.76175548589345,10633,Sim
2017-06-05,0,0,50,185000.0,Enxurradas,2017/2018,388.6,2017-05-24,66.0,80.39,18.07,74205000,0.6219679064560268,2301.2812538872995,10633,Sim
2016-01-22,0,0,0,0.0,Enxurradas,2016/2017,119.7,2016-10-19,1.16,1.15,1.17,74205000,,,10633,Sim
2013-01-28,0,0,2100,1481291.1,Enxurradas,2013/2014,200.3,2013-08-25,1.89,1.83,2.04,74205000,1147.5409836065571,809448.6885245902,10633,Sim
2011-03-25,0,0,0,0.0,Enxurradas,2011/2012,283.0,2011-07-21,5.08,5.61,4.92,74205000,,,10633,Sim
2010-11-11,0,0,0,0.0,Enxurradas,2010/2011,226.6,2010-06-18,2.44,2.41,2.64,74205000,,,10633,Sim
2010-01-06,0,0,0,0.0,Enxurradas,2010/2011,226.6,2010-06-18,2.44,2.41,2.64,74205000,,,10633,Sim
2009-12-07,0,0,0,0.0,Enxurradas,2009/2010,195.1,2009-09-12,1.78,1.75,1.95,74205000,,,10633,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,329.1,1992-05-28,13.2,14.97,8.56,74205000,,,10633,Sim
2023-11-02,0,0,10228,41289.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,459.8920863309353,1856.519784172662,10633,
2023-10-17,0,0,1700,6500.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,76.43884892086332,292.26618705035975,10633,
2017-06-05,0,0,50,185000.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,10.224948875255624,37832.31083844581,10633,
2016-01-22,0,0,0,0.0,Enxurradas,2016/2017,4777.9,2016-02-01,1.12,1.06,1.08,74100000,,,10633,
2013-01-28,0,0,2100,1481291.1,Enxurradas,2013/2014,14028.0,2013-09-23,2.36,2.44,2.25,74100000,860.655737704918,607086.5163934426,10633,
2011-03-25,0,0,0,0.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,,10633,
2010-11-11,0,0,0,0.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,,10633,
2010-01-06,0,0,0,0.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,,10633,
2009-12-07,0,0,0,0.0,Enxurradas,2009/2010,20928.6,2009-09-29,4.4,5.4,5.69,74100000,,,10633,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,10633,
