Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-14,0,0,2030,682000.0,Inundações,2023/2024,2313.3,2023-11-17,3.93,3.46,3.5,76310000,586.7052023121387,197109.82658959535,39210
2019-11-04,0,0,1695,2725000.0,Chuvas Intensas,2019/2020,3087.5,2019-01-14,7.38,8.08,7.96,76310000,209.77722772277227,337252.47524752474,39210
2019-01-11,0,0,5547,3270000.0,Chuvas Intensas,2019/2020,3087.5,2019-01-14,7.38,8.08,7.96,76310000,686.509900990099,404702.9702970297,39210
2017-06-08,0,0,4918,11067216.0,Enxurradas,2017/2018,2185.9,2017-10-22,3.28,3.05,3.08,76310000,1612.4590163934429,3628595.409836066,39210
2016-04-22,0,0,298,768920.0,Chuvas Intensas,2016/2017,1860.9,2016-04-29,2.19,2.25,2.28,76310000,132.44444444444446,341742.22222222225,39210
2016-01-05,0,0,856,2653239.0,Inundações,2016/2017,1860.9,2016-04-29,2.19,2.25,2.28,76310000,380.44444444444446,1179217.3333333333,39210
2015-10-20,0,0,630,8720106.0,Enxurradas,2015/2016,3364.3,2015-12-25,8.43,11.22,10.85,76310000,56.14973262032085,777193.0481283423,39210
2010-01-15,0,0,0,0.0,Inundações,2010/2011,1574.1,2010-07-29,1.55,1.78,1.8,76310000,,,39210
2009-11-20,0,5,37445,1300000.0,Inundações,2009/2010,3785.4,2009-11-23,14.75,18.76,17.57,76310000,1996.002132196162,69296.37526652451,39210
2002-10-12,0,0,480,18000.0,Inundações,2002/2003,3536.6,2002-04-28,11.8,13.82,13.2,76310000,34.73227206946454,1302.4602026049204,39210
2002-04-28,0,0,627,766874.0,Inundações,2002/2003,3536.6,2002-04-28,11.8,13.82,13.2,76310000,45.36903039073806,55490.15918958032,39210
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,4203.0,2001-09-06,19.67,31.68,28.52,76310000,,,39210
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,1655.0,1994-08-04,1.84,1.9,1.92,76310000,,,39210
1993-06-16,0,0,0,0.0,Enxurradas,1993/1994,2876.4,1993-05-14,6.56,6.34,6.31,76310000,,,39210
1992-04-16,0,0,0,0.0,Inundações,1992/1993,4693.5,1992-04-15,59.0,59.26,50.68,76310000,,,39210
2023-09-14,0,0,2030,682000.0,Inundações,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,189.01303538175048,63500.93109869646,39210
2019-11-04,0,0,1695,2725000.0,Chuvas Intensas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,1021.0843373493976,1641566.265060241,39210
2019-01-11,0,0,5547,3270000.0,Chuvas Intensas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,3341.566265060241,1969879.5180722887,39210
2017-06-08,0,0,4918,11067216.0,Enxurradas,2017/2018,27356.6,2017-06-13,8.8,14.6,10.11,77150000,336.8493150684932,758028.493150685,39210
2016-04-22,0,0,298,768920.0,Chuvas Intensas,2016/2017,21896.2,2016-01-01,4.89,4.22,4.15,77150000,70.61611374407583,182208.5308056872,39210
2016-01-05,0,0,856,2653239.0,Inundações,2016/2017,21896.2,2016-01-01,4.89,4.22,4.15,77150000,202.84360189573465,628729.6208530806,39210
2015-10-20,0,0,630,8720106.0,Enxurradas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,22.564469914040117,312324.7134670487,39210
2010-01-15,0,0,0,0.0,Inundações,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,39210
2009-11-20,0,5,37445,1300000.0,Inundações,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,9044.685990338165,314009.6618357488,39210
2002-10-12,0,0,480,18000.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,121.21212121212122,4545.454545454545,39210
2002-04-28,0,0,627,766874.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,158.33333333333334,193655.0505050505,39210
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,15921.1,2001-10-14,2.0,1.7,1.81,77150000,,,39210
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,20668.0,1994-11-11,3.14,3.36,3.44,77150000,,,39210
1993-06-16,0,0,0,0.0,Enxurradas,1993/1994,15437.2,1993-07-12,1.76,1.61,1.71,77150000,,,39210
1992-04-16,0,0,0,0.0,Inundações,1992/1993,25273.2,1992-06-06,6.29,8.72,7.13,77150000,,,39210
2023-09-14,0,0,2030,682000.0,Inundações,2023/2024,2313.3,2023-11-17,3.93,3.46,3.5,76310000,586.7052023121387,197109.82658959535,39210
2019-11-04,0,0,1695,2725000.0,Chuvas Intensas,2019/2020,3087.5,2019-01-14,7.38,8.08,7.96,76310000,209.77722772277227,337252.47524752474,39210
2019-01-11,0,0,5547,3270000.0,Chuvas Intensas,2019/2020,3087.5,2019-01-14,7.38,8.08,7.96,76310000,686.509900990099,404702.9702970297,39210
2017-06-08,0,0,4918,11067216.0,Enxurradas,2017/2018,2185.9,2017-10-22,3.28,3.05,3.08,76310000,1612.4590163934429,3628595.409836066,39210
2016-04-22,0,0,298,768920.0,Chuvas Intensas,2016/2017,1860.9,2016-04-29,2.19,2.25,2.28,76310000,132.44444444444446,341742.22222222225,39210
2016-01-05,0,0,856,2653239.0,Inundações,2016/2017,1860.9,2016-04-29,2.19,2.25,2.28,76310000,380.44444444444446,1179217.3333333333,39210
