Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,0,0,132,2400000.0,Enxurradas,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,2.23463687150838,40629.76130015237,7975,Sim
2015-09-18,0,0,0,0.0,Chuvas Intensas,2015/2016,982.9,2015-10-09,4.36,5.15,4.5,87170000,,,7975,Sim
2015-07-14,0,0,0,0.0,Movimento de Massa,2015/2016,982.9,2015-10-09,4.36,5.15,4.5,87170000,,,7975,Sim
2013-09-30,0,0,12,600000.0,Movimento de Massa,2013/2014,1080.8,2013-08-26,12.0,10.79,6.83,87170000,1.1121408711770158,55607.04355885079,7975,Sim
1996-02-12,0,0,0,0.0,Enxurradas,1996/1997,608.3,1996-10-15,1.23,1.22,1.29,87170000,,,7975,Sim
1995-12-05,0,0,0,0.0,Enxurradas,1995/1996,722.4,1995-07-20,1.45,1.56,1.73,87170000,,,7975,Sim
1994-03-29,0,0,0,0.0,Enxurradas,1994/1995,727.2,1994-05-26,1.5,1.58,1.75,87170000,,,7975,Sim
2023-11-18,0,0,132,2400000.0,Enxurradas,2023/2024,,,,,,86895000,,,7975,
2015-09-18,0,0,0,0.0,Chuvas Intensas,2015/2016,,,,,,86895000,,,7975,
2015-07-14,0,0,0,0.0,Movimento de Massa,2015/2016,,,,,,86895000,,,7975,
2013-09-30,0,0,12,600000.0,Movimento de Massa,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,2.142857142857143,107142.85714285714,7975,
1996-02-12,0,0,0,0.0,Enxurradas,1996/1997,,,,,,86895000,,,7975,
1995-12-05,0,0,0,0.0,Enxurradas,1995/1996,,,,,,86895000,,,7975,
1994-03-29,0,0,0,0.0,Enxurradas,1994/1995,4326.7,1994-07-08,1.28,1.22,1.3,86895000,,,7975,
