Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-07,0,0,0,331800.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,,14919.06474820144,16382
2018-01-24,0,0,690,812500.0,Enxurradas,2018/2019,7348.2,2018-10-19,1.2,1.24,1.22,74100000,556.4516129032259,655241.935483871,16382
2017-06-04,0,0,1400,134000.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,286.2985685071575,27402.862985685075,16382
2015-03-09,0,0,181,80330.0,Enxurradas,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,43.932038834951456,19497.57281553398,16382
2014-07-04,0,0,267,3405000.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,24.38356164383562,310958.90410958906,16382
1993-07-06,0,0,0,0.0,Inundações,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,16382
1992-06-02,0,0,0,0.0,Inundações,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,16382
2023-10-07,0,0,0,331800.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,,10900.131406044678,16382
2018-01-24,0,0,690,812500.0,Enxurradas,2018/2019,700.6,2018-09-03,1.44,1.47,1.56,72630000,469.3877551020408,552721.0884353742,16382
2017-06-04,0,0,1400,134000.0,Enxurradas,2017/2018,949.7,2017-05-31,3.0,2.83,3.0,72630000,494.69964664310953,47349.823321554766,16382
2015-03-09,0,0,181,80330.0,Enxurradas,2015/2016,1157.0,2015-07-15,5.31,6.55,5.86,72630000,27.633587786259543,12264.12213740458,16382
2014-07-04,0,0,267,3405000.0,Enxurradas,2014/2015,1281.1,2014-06-27,11.5,12.19,8.99,72630000,21.903199343724364,279327.3174733388,16382
1993-07-06,0,0,0,0.0,Inundações,1993/1994,1319.5,1993-07-04,13.8,15.03,10.29,72630000,,,16382
1992-06-02,0,0,0,0.0,Inundações,1992/1993,713.8,1992-07-02,1.5,1.51,1.61,72630000,,,16382
2023-10-07,0,0,0,331800.0,Chuvas Intensas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,,90655.73770491804,16382
2018-01-24,0,0,690,812500.0,Enxurradas,2018/2019,317.9,2018-09-04,1.55,1.51,1.47,72430000,456.95364238410593,538079.4701986755,16382
2017-06-04,0,0,1400,134000.0,Enxurradas,2017/2018,480.4,2017-06-06,3.78,3.26,3.23,72430000,429.4478527607362,41104.29447852761,16382
2015-03-09,0,0,181,80330.0,Enxurradas,2015/2016,575.8,2015-07-16,4.86,5.52,5.74,72430000,32.78985507246377,14552.53623188406,16382
2014-07-04,0,0,267,3405000.0,Enxurradas,2014/2015,663.6,2014-06-28,8.5,9.1,10.1,72430000,29.340659340659343,374175.8241758242,16382
1993-07-06,0,0,0,0.0,Inundações,1993/1994,1078.1,1993-07-05,68.0,95.25,169.86,72430000,,,16382
1992-06-02,0,0,0,0.0,Inundações,1992/1993,979.3,1992-05-29,34.0,55.17,85.93,72430000,,,16382
