Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,TR Log-Pearson 3,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2022-07-16,0,0,8050,8000398.3,Chuvas Intensas,2022/2023,15298.8,2022-05-10,1.69,1.59,1.69,1.58,77150000,5062.893081761006,5031697.044025157,75647
2022-05-26,0,0,1000,316994.31,Enxurradas,2022/2023,15298.8,2022-05-10,1.69,1.59,1.69,1.58,77150000,628.9308176100628,199367.4905660377,75647
2019-10-31,0,0,18733,15335000.0,Chuvas Intensas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,1.63,77150000,11284.939759036146,9237951.807228915,75647
2019-01-17,0,0,29486,22003398.3,Chuvas Intensas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,1.63,77150000,17762.650602409638,13255059.216867471,75647
2018-05-02,0,0,12740,6500000.0,Chuvas Intensas,2018/2019,11494.8,2018-11-08,1.16,1.19,1.21,1.2,77150000,10705.882352941177,5462184.87394958,75647
2017-04-10,0,0,1341,4354993.0,Enxurradas,2017/2018,27356.6,2017-06-13,8.8,14.6,10.11,15.34,77150000,91.84931506849315,298287.19178082194,75647
2016-04-28,0,0,90,1280000.0,Chuvas Intensas,2016/2017,21896.2,2016-01-01,4.89,4.22,4.15,3.83,77150000,21.32701421800948,303317.53554502374,75647
2015-12-22,0,0,150,0.0,Chuvas Intensas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,39.76,77150000,5.3724928366762175,,75647
2015-10-20,0,0,22,5030258.0,Chuvas Intensas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,39.76,77150000,0.7879656160458453,180166.83381088823,75647
2010-01-19,0,0,0,0.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,1.47,77150000,,,75647
2009-11-24,0,0,9104,0.0,Enxurradas,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,3.76,77150000,2199.033816425121,,75647
2022-07-16,0,0,8050,8000398.3,Chuvas Intensas,2022/2023,1725.5,2022-05-02,2.03,2.01,2.03,1.98,76310000,4004.9751243781097,3980297.661691543,75647
2022-05-26,0,0,1000,316994.31,Enxurradas,2022/2023,1725.5,2022-05-02,2.03,2.01,2.03,1.98,76310000,497.5124378109453,157708.61194029852,75647
2019-10-31,0,0,18733,15335000.0,Chuvas Intensas,2019/2020,3087.5,2019-01-14,7.38,8.06,7.93,7.24,76310000,2324.1935483870966,1902605.459057072,75647
2019-01-17,0,0,29486,22003398.3,Chuvas Intensas,2019/2020,3087.5,2019-01-14,7.38,8.06,7.93,7.24,76310000,3658.312655086848,2729950.1612903224,75647
2018-05-02,0,0,12740,6500000.0,Chuvas Intensas,2018/2019,1638.8,2018-10-04,1.74,1.87,1.89,1.87,76310000,6812.83422459893,3475935.8288770053,75647
2017-04-10,0,0,1341,4354993.0,Enxurradas,2017/2018,2185.9,2017-10-22,3.28,3.04,3.08,2.85,76310000,441.1184210526316,1432563.4868421052,75647
2016-04-28,0,0,90,1280000.0,Chuvas Intensas,2016/2017,1860.9,2016-04-29,2.19,2.25,2.28,2.19,76310000,40.0,568888.8888888889,75647
2015-12-22,0,0,150,0.0,Chuvas Intensas,2015/2016,3364.3,2015-12-25,8.43,11.18,10.81,10.34,76310000,13.416815742397135,,75647
