Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-23,0,0,12,0.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,2.04778156996587,,7813,
2020-07-14,0,0,3,0.0,Chuvas Intensas,2020/2021,2291.6,2020-07-08,1.81,2.05,2.23,85400000,1.4634146341463417,,7813,
2017-06-14,0,0,1844,374000.0,Enxurradas,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,301.3071895424836,61111.11111111111,7813,
2012-09-18,0,0,880,717000.0,Enxurradas,2012/2013,1282.3,2012-10-04,1.14,1.1,1.12,85400000,799.9999999999999,651818.1818181818,7813,
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,2815.2,1994-07-07,4.58,4.37,3.88,85400000,,,7813,
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,2841.0,1993-06-05,5.8,4.58,3.99,85400000,,,7813,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,2708.9,1992-05-30,3.48,3.64,3.44,85400000,,,7813,
2023-10-23,0,0,12,0.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,0.2130681818181818,,7813,Sim
2020-07-14,0,0,3,0.0,Chuvas Intensas,2020/2021,11102.3,2020-07-10,1.45,1.44,1.48,75550000,2.083333333333333,,7813,Sim
2017-06-14,0,0,1844,374000.0,Enxurradas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,230.7884856070088,46808.51063829787,7813,Sim
2012-09-18,0,0,880,717000.0,Enxurradas,2012/2013,8237.7,2012-10-31,1.1,1.18,1.19,75550000,745.7627118644068,607627.1186440678,7813,Sim
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,14420.3,1994-07-08,2.0,2.04,2.14,75550000,,,7813,Sim
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,15096.0,1993-07-08,2.29,2.23,2.33,75550000,,,7813,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,22574.1,1992-06-01,6.4,7.94,7.12,75550000,,,7813,Sim
2023-10-23,0,0,12,0.0,Chuvas Intensas,2023/2024,1081.9,2023-11-19,14.17,20.38,46.71,75155000,0.5888125613346419,,7813,
2020-07-14,0,0,3,0.0,Chuvas Intensas,2020/2021,918.2,2020-07-09,9.44,13.03,20.72,75155000,0.2302379125095932,,7813,
2017-06-14,0,0,1844,374000.0,Enxurradas,2017/2018,1134.5,2017-06-09,17.0,23.36,60.76,75155000,78.93835616438356,16010.27397260274,7813,
2012-09-18,0,0,880,717000.0,Enxurradas,2012/2013,252.5,2012-10-03,1.25,1.41,1.32,75155000,624.113475177305,508510.6382978724,7813,
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,355.6,1994-07-08,2.3,2.04,1.75,75155000,,,7813,
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,319.9,1993-11-18,1.93,1.79,1.57,75155000,,,7813,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,4277.1,1992-05-28,85.0,4009.98,470314145.6,75155000,,,7813,
