Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2022-08-10,0,0,0,100.0,Movimento de Massa,2022/2023,183.9,2022-06-23,5.33,2.83,2.48,85830000,,35.3356890459364,132271,Sim
2021-10-18,0,0,0,0.0,Inundações+Inundações,2021/2022,222.5,2021-09-08,8.0,9.86,4.12,85830000,,,132271,Sim
2021-07-14,0,0,0,0.0,Movimento de Massa+Alagamentos,2021/2022,222.5,2021-09-08,8.0,9.86,4.12,85830000,,,132271,Sim
2021-04-13,0,0,0,0.0,Chuvas Intensas,2021/2022,222.5,2021-09-08,8.0,9.86,4.12,85830000,,,132271,Sim
2021-02-03,0,0,4299,16012676.0,Chuvas Intensas,2021/2022,222.5,2021-09-08,8.0,9.86,4.12,85830000,436.0040567951319,1624003.6511156186,132271,Sim
2020-07-25,0,0,1950,298762.0,Inundações,2020/2021,236.6,2020-07-08,16.0,18.28,5.03,85830000,106.67396061269146,16343.654266958423,132271,Sim
2019-07-23,0,0,0,0.0,Chuvas Intensas,2019/2020,191.1,2019-05-28,6.0,3.41,2.71,85830000,,,132271,Sim
2019-05-21,0,0,0,0.0,Chuvas Intensas,2019/2020,191.1,2019-05-28,6.0,3.41,2.71,85830000,,,132271,Sim
2018-10-01,0,0,0,0.0,Chuvas Intensas,2018/2019,206.1,2018-09-02,6.86,5.37,3.29,85830000,,,132271,Sim
2018-09-24,0,0,30644,138152.0,Chuvas Intensas,2018/2019,206.1,2018-09-02,6.86,5.37,3.29,85830000,5706.517690875233,25726.62942271881,132271,Sim
2017-10-10,0,0,210,229250.0,Chuvas Intensas,2017/2018,239.5,2017-06-08,24.0,20.99,5.25,85830000,10.004764173415913,10921.86755597904,132271,Sim
2017-09-16,0,0,230,60000.0,Chuvas Intensas,2017/2018,239.5,2017-06-08,24.0,20.99,5.25,85830000,10.95759885659838,2858.504049547404,132271,Sim
2017-06-08,0,0,1525,1419000.0,Chuvas Intensas,2017/2018,239.5,2017-06-08,24.0,20.99,5.25,85830000,72.65364459266318,67603.6207717961,132271,Sim
2017-05-25,0,0,3,13000.0,Chuvas Intensas,2017/2018,239.5,2017-06-08,24.0,20.99,5.25,85830000,0.1429252024773702,619.3425440686042,132271,Sim
2017-03-12,0,0,0,18000.0,Chuvas Intensas,2017/2018,239.5,2017-06-08,24.0,20.99,5.25,85830000,,857.5512148642212,132271,Sim
2016-10-19,1,0,917,7870000.0,Chuvas Intensas,2016/2017,231.9,2016-10-18,9.6,14.73,4.71,85830000,62.25390359809912,534283.7746096401,132271,Sim
2016-07-10,0,0,0,78000.0,Chuvas Intensas,2016/2017,231.9,2016-10-18,9.6,14.73,4.71,85830000,,5295.315682281059,132271,Sim
2016-03-02,0,0,0,0.0,Chuvas Intensas,2016/2017,231.9,2016-10-18,9.6,14.73,4.71,85830000,,,132271,Sim
2016-02-26,0,0,0,81000.0,Chuvas Intensas,2016/2017,231.9,2016-10-18,9.6,14.73,4.71,85830000,,5498.9816700611,132271,Sim
2016-01-30,0,0,0,289000.0,Chuvas Intensas,2016/2017,231.9,2016-10-18,9.6,14.73,4.71,85830000,,19619.823489477258,132271,Sim
2015-12-29,0,0,0,0.0,Chuvas Intensas,2015/2016,235.7,2015-10-08,12.0,17.52,4.97,85830000,,,132271,Sim
2015-10-25,0,0,92,5290252.0,Chuvas Intensas,2015/2016,235.7,2015-10-08,12.0,17.52,4.97,85830000,5.251141552511416,301955.0228310502,132271,Sim
2015-07-29,0,0,7,1001251.0,Chuvas Intensas,2015/2016,235.7,2015-10-08,12.0,17.52,4.97,85830000,0.3995433789954338,57149.0296803653,132271,Sim
2015-06-23,0,0,0,55250.0,Chuvas Intensas,2015/2016,235.7,2015-10-08,12.0,17.52,4.97,85830000,,3153.538812785388,132271,Sim
2015-01-12,1,0,1,45249.0,Chuvas Intensas,2015/2016,235.7,2015-10-08,12.0,17.52,4.97,85830000,0.0570776255707762,2582.705479452055,132271,Sim
2014-10-21,0,0,5,32100.0,Chuvas Intensas,2014/2015,175.1,2014-06-29,4.8,2.32,2.23,85830000,2.155172413793104,13836.206896551725,132271,Sim
2014-07-30,0,0,1,239900.0,Enxurradas,2014/2015,175.1,2014-06-29,4.8,2.32,2.23,85830000,0.4310344827586207,103405.17241379312,132271,Sim
2014-07-08,0,0,1998,4013632.72,Enxurradas,2014/2015,175.1,2014-06-29,4.8,2.32,2.23,85830000,861.2068965517242,1730014.1034482762,132271,Sim
2011-04-22,0,0,27358,0.0,Enxurradas,2011/2012,172.4,2011-08-09,3.69,2.19,2.16,85830000,12492.237442922376,,132271,Sim
2010-01-05,0,0,17641,123000.0,Inundações,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,7670.000000000001,53478.26086956522,132271,Sim
2009-12-07,0,0,15172,7312000.0,Inundações,2009/2010,171.7,2009-08-09,3.2,2.16,2.14,85830000,7024.074074074074,3385185.185185185,132271,Sim
2009-02-10,0,0,0,0.0,Inundações,2009/2010,171.7,2009-08-09,3.2,2.16,2.14,85830000,,,132271,Sim
2007-09-21,0,2,1263,0.0,Enxurradas,2007/2008,154.6,2007-02-25,1.26,1.61,1.77,85830000,784.472049689441,,132271,Sim
1993-02-18,0,0,0,0.0,Inundações,1993/1994,163.8,1993-07-05,1.66,1.87,1.96,85830000,,,132271,Sim
2022-08-10,0,0,0,100.0,Movimento de Massa,2022/2023,,,,,,86895000,,,132271,
2021-10-18,0,0,0,0.0,Inundações+Inundações,2021/2022,,,,,,86895000,,,132271,
2021-07-14,0,0,0,0.0,Movimento de Massa+Alagamentos,2021/2022,,,,,,86895000,,,132271,
2021-04-13,0,0,0,0.0,Chuvas Intensas,2021/2022,,,,,,86895000,,,132271,
2021-02-03,0,0,4299,16012676.0,Chuvas Intensas,2021/2022,,,,,,86895000,,,132271,
2020-07-25,0,0,1950,298762.0,Inundações,2020/2021,,,,,,86895000,,,132271,
2019-07-23,0,0,0,0.0,Chuvas Intensas,2019/2020,,,,,,86895000,,,132271,
2019-05-21,0,0,0,0.0,Chuvas Intensas,2019/2020,,,,,,86895000,,,132271,
2018-10-01,0,0,0,0.0,Chuvas Intensas,2018/2019,,,,,,86895000,,,132271,
2018-09-24,0,0,30644,138152.0,Chuvas Intensas,2018/2019,,,,,,86895000,,,132271,
2017-10-10,0,0,210,229250.0,Chuvas Intensas,2017/2018,,,,,,86895000,,,132271,
2017-09-16,0,0,230,60000.0,Chuvas Intensas,2017/2018,,,,,,86895000,,,132271,
2017-06-08,0,0,1525,1419000.0,Chuvas Intensas,2017/2018,,,,,,86895000,,,132271,
2017-05-25,0,0,3,13000.0,Chuvas Intensas,2017/2018,,,,,,86895000,,,132271,
2017-03-12,0,0,0,18000.0,Chuvas Intensas,2017/2018,,,,,,86895000,,,132271,
2016-10-19,1,0,917,7870000.0,Chuvas Intensas,2016/2017,,,,,,86895000,,,132271,
2016-07-10,0,0,0,78000.0,Chuvas Intensas,2016/2017,,,,,,86895000,,,132271,
2016-03-02,0,0,0,0.0,Chuvas Intensas,2016/2017,,,,,,86895000,,,132271,
2016-02-26,0,0,0,81000.0,Chuvas Intensas,2016/2017,,,,,,86895000,,,132271,
2016-01-30,0,0,0,289000.0,Chuvas Intensas,2016/2017,,,,,,86895000,,,132271,
2015-12-29,0,0,0,0.0,Chuvas Intensas,2015/2016,,,,,,86895000,,,132271,
2015-10-25,0,0,92,5290252.0,Chuvas Intensas,2015/2016,,,,,,86895000,,,132271,
