Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-15,0,0,80,0.0,Alagamentos,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,3.2064128256513027,,285159
2023-09-05,0,0,0,0.0,Alagamentos,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,,,285159
2023-07-14,0,0,0,0.0,Alagamentos,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,,,285159
2023-02-17,0,0,0,0.0,Alagamentos,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,,,285159
2022-08-09,0,0,2500,0.0,Movimento de Massa,2022/2023,2460.0,2022-07-19,1.5,1.69,1.87,85642000,1479.2899408284025,,285159
2022-07-11,0,0,12,0.0,Alagamentos,2022/2023,2460.0,2022-07-19,1.5,1.69,1.87,85642000,7.100591715976331,,285159
2022-05-02,0,1,1,500000.0,Alagamentos,2022/2023,2460.0,2022-07-19,1.5,1.69,1.87,85642000,0.591715976331361,295857.9881656805,285159
2021-12-20,0,0,156,0.0,Alagamentos,2021/2022,2392.0,2021-09-11,1.36,1.59,1.77,85642000,98.1132075471698,,285159
2021-09-24,0,0,220,80000.0,Alagamentos+Movimento de Massa,2021/2022,2392.0,2021-09-11,1.36,1.59,1.77,85642000,138.36477987421384,50314.46540880503,285159
2021-09-01,0,0,54,1000.0,Alagamentos,2021/2022,2392.0,2021-09-11,1.36,1.59,1.77,85642000,33.9622641509434,628.9308176100628,285159
2017-04-20,0,0,40,0.0,Alagamentos,2017/2018,3459.4,2017-06-01,9.0,8.86,5.48,85642000,4.514672686230249,,285159
2015-10-16,0,0,5731,13978516.0,Chuvas Intensas,2015/2016,4360.6,2015-12-27,45.0,166.48,17.02,85642000,34.42455550216243,83965.1369533878,285159
2010-01-02,0,0,49230,0.0,Enxurradas,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,16194.078947368422,,285159
2009-11-21,0,0,58451,0.0,Inundações,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,85642000,13561.71693735499,,285159
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,2704.8,1994-10-22,1.88,2.22,2.36,85642000,,,285159
2023-09-15,0,0,80,0.0,Alagamentos,2023/2024,890.2,2023-11-17,2.12,2.49,2.6,85600000,32.128514056224894,,285159
2023-09-05,0,0,0,0.0,Alagamentos,2023/2024,890.2,2023-11-17,2.12,2.49,2.6,85600000,,,285159
2023-07-14,0,0,0,0.0,Alagamentos,2023/2024,890.2,2023-11-17,2.12,2.49,2.6,85600000,,,285159
2023-02-17,0,0,0,0.0,Alagamentos,2023/2024,890.2,2023-11-17,2.12,2.49,2.6,85600000,,,285159
2022-08-09,0,0,2500,0.0,Movimento de Massa,2022/2023,608.3,2022-07-22,1.52,1.43,1.46,85600000,1748.2517482517485,,285159
2022-07-11,0,0,12,0.0,Alagamentos,2022/2023,608.3,2022-07-22,1.52,1.43,1.46,85600000,8.391608391608392,,285159
2022-05-02,0,1,1,500000.0,Alagamentos,2022/2023,608.3,2022-07-22,1.52,1.43,1.46,85600000,0.6993006993006994,349650.34965034964,285159
2021-12-20,0,0,156,0.0,Alagamentos,2021/2022,1001.8,2021-09-12,2.93,3.33,3.42,85600000,46.84684684684685,,285159
2021-09-24,0,0,220,80000.0,Alagamentos+Movimento de Massa,2021/2022,1001.8,2021-09-12,2.93,3.33,3.42,85600000,66.06606606606607,24024.024024024024,285159
2021-09-01,0,0,54,1000.0,Alagamentos,2021/2022,1001.8,2021-09-12,2.93,3.33,3.42,85600000,16.216216216216218,300.3003003003003,285159
2017-04-20,0,0,40,0.0,Alagamentos,2017/2018,804.5,2017-08-16,1.7,2.05,2.13,85600000,19.512195121951223,,285159
2015-10-16,0,0,5731,13978516.0,Chuvas Intensas,2015/2016,1357.2,2015-10-11,17.0,10.15,9.07,85600000,564.6305418719212,1377193.6945812807,285159
2010-01-02,0,0,49230,0.0,Enxurradas,2010/2011,908.3,2010-01-22,2.43,2.61,2.71,85600000,18862.068965517243,,285159
2009-11-21,0,0,58451,0.0,Inundações,2009/2010,1301.6,2009-11-24,10.62,8.39,7.73,85600000,6966.746126340881,,285159
