Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2020-07-13,0,0,0,0.0,Chuvas Intensas,2020/2021,10759.3,2020-06-12,1.26,1.22,1.2,74800000,,,73882,
2017-06-09,0,0,3682,854962.0,Chuvas Intensas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,1195.4545454545455,277585.06493506493,73882,
2017-05-29,0,0,130,0.0,Alagamentos,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,42.20779220779221,,73882,
2017-04-10,0,0,2000,0.0,Chuvas Intensas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,649.3506493506493,,73882,
2016-04-26,0,0,0,0.0,Alagamentos,2016/2017,8990.0,2016-03-26,1.19,1.11,1.11,74800000,,,73882,
2015-12-18,0,0,85,48260.0,Enxurradas,2015/2016,21891.0,2015-07-16,2.69,3.26,3.05,74800000,26.07361963190184,14803.680981595093,73882,
2014-10-09,0,0,8496,23500.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,705.6478405315615,1951.827242524917,73882,
2010-02-22,0,0,0,0.0,Enxurradas,2010/2011,27810.9,2010-04-28,6.14,5.78,6.14,74800000,,,73882,
2009-11-22,0,0,0,0.0,Enxurradas,2009/2010,12279.3,2009-11-24,1.43,1.36,1.3,74800000,,,73882,
2008-10-25,0,2,10472,0.0,Enxurradas,2008/2009,24291.9,2008-10-31,3.31,4.11,4.01,74800000,2547.9318734793187,,73882,
2020-07-13,0,0,0,0.0,Chuvas Intensas,2020/2021,108.5,2020-07-07,1.75,1.64,1.74,74750000,,,73882,Sim
2017-06-09,0,0,3682,854962.0,Chuvas Intensas,2017/2018,210.7,2017-04-25,31.5,32.8,17.11,74750000,112.25609756097562,26065.914634146346,73882,Sim
2017-05-29,0,0,130,0.0,Alagamentos,2017/2018,210.7,2017-04-25,31.5,32.8,17.11,74750000,3.963414634146342,,73882,Sim
2017-04-10,0,0,2000,0.0,Chuvas Intensas,2017/2018,210.7,2017-04-25,31.5,32.8,17.11,74750000,60.97560975609757,,73882,Sim
2016-04-26,0,0,0,0.0,Alagamentos,2016/2017,191.8,2016-04-25,21.0,15.68,10.67,74750000,,,73882,Sim
2015-12-18,0,0,85,48260.0,Enxurradas,2015/2016,162.0,2015-12-14,5.25,5.7,5.2,74750000,14.912280701754383,8466.666666666666,73882,Sim
2014-10-09,0,0,8496,23500.0,Enxurradas,2014/2015,268.4,2014-09-30,63.0,445.5,74.83,74750000,19.07070707070707,52.749719416386085,73882,Sim
2010-02-22,0,0,0,0.0,Enxurradas,2010/2011,125.6,2010-07-25,2.17,2.24,2.37,74750000,,,73882,Sim
2009-11-22,0,0,0,0.0,Enxurradas,2009/2010,114.9,2009-11-22,1.85,1.82,1.94,74750000,,,73882,Sim
2008-10-25,0,2,10472,0.0,Enxurradas,2008/2009,97.3,2008-10-25,1.34,1.4,1.47,74750000,7480.000000000001,,73882,Sim
2020-07-13,0,0,0,0.0,Chuvas Intensas,2020/2021,537.7,2020-07-08,42.5,87.49,18.3,74700000,,,73882,
2017-06-09,0,0,3682,854962.0,Chuvas Intensas,2017/2018,418.2,2017-05-25,8.5,9.01,6.48,74700000,408.6570477247503,94890.34406215316,73882,
2017-05-29,0,0,130,0.0,Alagamentos,2017/2018,418.2,2017-05-25,8.5,9.01,6.48,74700000,14.428412874583795,,73882,
2017-04-10,0,0,2000,0.0,Chuvas Intensas,2017/2018,418.2,2017-05-25,8.5,9.01,6.48,74700000,221.97558268590456,,73882,
2016-04-26,0,0,0,0.0,Alagamentos,2016/2017,335.1,2016-04-26,3.04,3.2,3.32,74700000,,,73882,
2015-12-18,0,0,85,48260.0,Enxurradas,2015/2016,426.4,2015-12-15,12.14,10.22,6.95,74700000,8.317025440313111,4722.11350293542,73882,
2014-10-09,0,0,8496,23500.0,Enxurradas,2014/2015,579.7,2014-10-01,85.0,245.78,26.63,74700000,34.567499389698106,95.61396370738058,73882,
2010-02-22,0,0,0,0.0,Enxurradas,2010/2011,265.3,2010-07-19,1.81,1.82,2.03,74700000,,,73882,
2009-11-22,0,0,0,0.0,Enxurradas,2009/2010,469.4,2009-11-23,28.33,21.21,10.04,74700000,,,73882,
2008-10-25,0,2,10472,0.0,Enxurradas,2008/2009,369.6,2008-10-27,4.05,4.67,4.35,74700000,2242.398286937901,,73882,
