Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,0,0,1551,14208455.09,Chuvas Intensas,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,400.7751937984496,3671435.42377261,1722,
2023-09-04,0,2,694,28980000.0,Chuvas Intensas,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,179.32816537467698,7488372.093023255,1722,
2020-07-09,0,0,530,1436490.0,Inundações,2020/2021,1739.4,2020-07-08,86.0,75.5,72.54,86500000,7.0198675496688745,19026.35761589404,1722,
2017-06-07,0,0,1540,81300.0,Chuvas Intensas,2017/2018,966.5,2017-06-08,4.3,4.69,4.75,86500000,328.35820895522386,17334.754797441365,1722,
2016-10-16,0,0,18,0.0,Inundações,2016/2017,1036.5,2016-10-19,5.38,5.9,5.98,86500000,3.0508474576271185,,1722,
2015-10-16,0,0,3,60261.0,Inundações,2015/2016,920.8,2015-10-09,3.91,4.05,4.1,86500000,0.7407407407407408,14879.25925925926,1722,
2013-11-13,0,0,200,0.0,Inundações,2013/2014,676.3,2013-09-22,2.0,2.01,2.02,86500000,99.50248756218906,,1722,
2011-07-21,0,0,872,0.0,Inundações,2011/2012,1285.5,2011-07-21,14.33,14.1,14.14,86500000,61.84397163120568,,1722,
2010-07-09,0,0,0,0.0,Enxurradas,2010/2011,1093.4,2010-09-22,6.62,7.16,7.25,86500000,,,1722,
2010-01-04,0,0,0,453000.0,Enxurradas,2010/2011,1093.4,2010-09-22,6.62,7.16,7.25,86500000,,63268.15642458101,1722,
2009-09-12,0,0,126,492830.0,Inundações,2009/2010,1051.4,2009-09-12,5.73,6.21,6.29,86500000,20.28985507246377,79360.70853462158,1722,
2008-10-26,0,0,152,30000.0,Inundações,2008/2009,840.4,2008-10-26,3.07,3.16,3.2,86500000,48.10126582278481,9493.670886075948,1722,
2007-07-10,0,0,235,1710000.0,Enxurradas,2007/2008,1455.4,2007-07-10,28.67,26.24,25.92,86500000,8.95579268292683,65167.68292682927,1722,
