Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-21,0,0,49082,0.0,Chuvas Intensas,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,4570.018621973929,,49298,
2019-01-23,0,0,50,6155000.0,Enxurradas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,30.120481927710845,3707831.325301205,49298,
2010-02-23,0,0,0,0.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,49298,
2009-12-03,0,0,0,150600.0,Enxurradas,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,36376.8115942029,49298,
2023-09-21,0,0,49082,0.0,Chuvas Intensas,2023/2024,319.5,2023-11-16,1.28,1.3,1.31,76650000,37755.38461538462,,49298,Sim
2019-01-23,0,0,50,6155000.0,Enxurradas,2019/2020,963.8,2019-01-12,13.83,17.73,16.08,76650000,2.8200789622109417,347151.72024816694,49298,Sim
2010-02-23,0,0,0,0.0,Enxurradas,2010/2011,539.3,2010-01-20,2.52,2.48,2.54,76650000,,,49298,Sim
2009-12-03,0,0,0,150600.0,Enxurradas,2009/2010,867.4,2009-11-24,8.3,10.79,10.28,76650000,,13957.36793327155,49298,Sim
2023-09-21,0,0,49082,0.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,21527.19298245614,,49298,
2019-01-23,0,0,50,6155000.0,Enxurradas,2019/2020,4764.8,2019-01-20,7.62,10.27,9.73,76500000,4.868549172346641,599318.4031158715,49298,
2010-02-23,0,0,0,0.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,49298,
2009-12-03,0,0,0,150600.0,Enxurradas,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,4712.140175219024,49298,
2023-09-21,0,0,49082,0.0,Chuvas Intensas,2023/2024,786.0,2023-07-13,3.24,2.67,2.63,76460000,18382.771535580523,,49298,
2019-01-23,0,0,50,6155000.0,Enxurradas,2019/2020,790.6,2019-01-09,3.4,2.7,2.66,76460000,18.51851851851852,2279629.6296296297,49298,
2010-02-23,0,0,0,0.0,Enxurradas,2010/2011,1587.7,2010-01-09,17.0,20.94,28.74,76460000,,,49298,
2009-12-03,0,0,0,150600.0,Enxurradas,2009/2010,1179.6,2009-11-22,6.18,7.17,8.02,76460000,,21004.18410041841,49298,
