Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-12-23,0,0,12005,1322215.56,Chuvas Intensas,2023/2024,2480.0,2023-11-18,42.5,30.83,51.83,75230000,389.3934479403179,42887.303276029845,77544,Sim
2023-09-08,0,0,1000,0.0,Alagamentos,2023/2024,2480.0,2023-11-18,42.5,30.83,51.83,75230000,32.435939020434645,,77544,Sim
2022-12-15,0,0,120,0.0,Alagamentos,2022/2023,847.5,2022-05-05,1.6,1.67,1.58,75230000,71.8562874251497,,77544,Sim
2019-01-18,0,0,400,300000.0,Alagamentos,2019/2020,961.1,2019-11-06,2.07,1.99,1.87,75230000,201.00502512562812,150753.7688442211,77544,Sim
2018-09-25,0,0,0,0.0,Enxurradas,2018/2019,616.0,2018-01-25,1.21,1.24,1.21,75230000,,,77544,Sim
2018-09-04,0,0,20,37000.0,Enxurradas,2018/2019,616.0,2018-01-25,1.21,1.24,1.21,75230000,16.129032258064516,29838.70967741936,77544,Sim
2018-01-02,0,0,0,0.0,Enxurradas,2018/2019,616.0,2018-01-25,1.21,1.24,1.21,75230000,,,77544,Sim
2017-05-27,0,0,4516,7060176.0,Enxurradas,2017/2018,2294.1,2017-06-10,21.25,22.13,33.26,75230000,204.06687754179848,319031.90239493904,77544,Sim
2015-12-17,0,0,12000,208590.0,Enxurradas,2015/2016,1428.1,2015-12-25,5.31,4.5,4.56,75230000,2666.6666666666665,46353.333333333336,77544,Sim
2014-07-21,0,0,12285,4285000.0,Enxurradas,2014/2015,1017.8,2014-06-27,2.18,2.18,2.06,75230000,5635.321100917431,1965596.3302752287,77544,Sim
2002-11-10,0,0,0,0.0,Enxurradas,2002/2003,1179.6,2002-09-20,3.4,2.88,2.76,75230000,,,77544,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,6369.1,1992-05-29,85.0,9206.76,617300.93,75230000,,,77544,Sim
2023-12-23,0,0,12005,1322215.56,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,213.15696022727272,23476.83877840909,77544,
2023-09-08,0,0,1000,0.0,Alagamentos,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,17.755681818181817,,77544,
2022-12-15,0,0,120,0.0,Alagamentos,2022/2023,18224.7,2022-06-01,3.56,3.56,3.62,75550000,33.70786516853933,,77544,
2019-01-18,0,0,400,300000.0,Alagamentos,2019/2020,12371.6,2019-05-14,1.78,1.62,1.68,75550000,246.9135802469136,185185.1851851852,77544,
2018-09-25,0,0,0,0.0,Enxurradas,2018/2019,9975.0,2018-11-03,1.33,1.31,1.34,75550000,,,77544,
2018-09-04,0,0,20,37000.0,Enxurradas,2018/2019,9975.0,2018-11-03,1.33,1.31,1.34,75550000,15.267175572519085,28244.274809160303,77544,
2018-01-02,0,0,0,0.0,Enxurradas,2018/2019,9975.0,2018-11-03,1.33,1.31,1.34,75550000,,,77544,
2017-05-27,0,0,4516,7060176.0,Enxurradas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,565.206508135169,883626.533166458,77544,
2015-12-17,0,0,12000,208590.0,Enxurradas,2015/2016,19662.9,2015-07-18,4.0,4.56,4.49,75550000,2631.5789473684213,45743.42105263158,77544,
2014-07-21,0,0,12285,4285000.0,Enxurradas,2014/2015,25490.1,2014-06-30,10.67,14.69,11.51,75550000,836.283185840708,291695.0306330837,77544,
2002-11-10,0,0,0,0.0,Enxurradas,2002/2003,,,,,,75550000,,,77544,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,22574.1,1992-06-01,6.4,7.94,7.12,75550000,,,77544,
