Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2024-01-11,0,0,18,0.0,Chuvas Intensas+Chuvas Intensas,2024/2025,54.6,2024-01-20,1.09,1.05,1.04,87399000,17.142857142857142,,43397,
2023-10-18,0,0,20,0.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,1.923076923076923,,43397,
2023-10-04,0,0,23,0.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,2.2115384615384617,,43397,
2023-06-19,0,0,39699,4671800.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,3817.211538461538,449211.5384615384,43397,
2023-03-23,0,0,13,0.0,Alagamentos,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,1.25,,43397,
2021-09-24,0,0,1113,1185143.13,Chuvas Intensas,2021/2022,79.6,2021-09-17,1.23,1.23,1.26,87399000,904.8780487804878,963531.0,43397,
2020-10-05,0,0,0,0.0,Chuvas Intensas,2020/2021,142.5,2020-07-12,5.33,4.2,4.14,87399000,,,43397,
2013-09-23,0,0,18,1799999.99,Inundações,2013/2014,224.6,2013-08-30,48.0,85.06,35.97,87399000,0.2116153303550434,21161.53291794028,43397,
2011-02-06,0,0,1977,1471500.0,Enxurradas,2011/2012,133.3,2011-07-24,3.69,3.27,3.33,87399000,604.5871559633027,450000.0,43397,
2024-01-11,0,0,18,0.0,Chuvas Intensas+Chuvas Intensas,2024/2025,227.1,2024-01-21,1.11,1.09,1.11,87374000,16.513761467889907,,43397,Sim
2023-10-18,0,0,20,0.0,Chuvas Intensas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,0.3561253561253562,,43397,Sim
2023-10-04,0,0,23,0.0,Chuvas Intensas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,0.4095441595441595,,43397,Sim
2023-06-19,0,0,39699,4671800.0,Chuvas Intensas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,706.8910256410256,83187.32193732195,43397,Sim
2023-03-23,0,0,13,0.0,Alagamentos,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,0.2314814814814814,,43397,Sim
2021-09-24,0,0,1113,1185143.13,Chuvas Intensas,2021/2022,196.1,2021-06-28,1.07,1.05,1.05,87374000,1060.0,1128707.7428571428,43397,Sim
2020-10-05,0,0,0,0.0,Chuvas Intensas,2020/2021,384.6,2020-07-09,2.31,2.23,2.38,87374000,,,43397,Sim
2013-09-23,0,0,18,1799999.99,Inundações,2013/2014,540.8,2013-08-27,10.0,19.08,8.11,87374000,0.9433962264150944,94339.62211740045,43397,Sim
2011-02-06,0,0,1977,1471500.0,Enxurradas,2011/2012,406.3,2011-07-21,3.33,2.72,2.77,87374000,726.8382352941176,540992.6470588235,43397,Sim
