Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2017-06-01,0,0,5500,1050600.0,Chuvas Intensas,2017/2018,1759.3,2017-04-27,5.67,6.14,4.83,75700000,895.7654723127037,171107.49185667757,9930,
2017-04-25,0,0,600,800000.0,Chuvas Intensas,2017/2018,1759.3,2017-04-27,5.67,6.14,4.83,75700000,97.7198697068404,130293.15960912051,9930,
2017-04-11,0,0,3000,10000.0,Chuvas Intensas,2017/2018,1759.3,2017-04-27,5.67,6.14,4.83,75700000,488.599348534202,1628.6644951140065,9930,
2014-11-13,0,0,3000,500000.0,Chuvas Intensas,2014/2015,1376.4,2014-10-02,2.62,2.21,2.38,75700000,1357.4660633484164,226244.3438914027,9930,
2010-01-15,0,0,0,0.0,Enxurradas,2010/2011,1218.9,2010-01-21,1.66,1.68,1.85,75700000,,,9930,
2009-11-29,0,0,0,0.0,Enxurradas,2009/2010,1935.8,2009-11-23,22.67,11.92,6.9,75700000,,,9930,
2003-01-14,0,0,0,0.0,Enxurradas,2003/2004,1451.9,2003-05-02,3.09,2.59,2.71,75700000,,,9930,
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,1551.5,1998-04-15,3.24,3.29,3.24,75700000,,,9930,
1997-10-05,0,0,0,0.0,Enxurradas,1997/1998,2188.3,1997-10-16,34.0,38.63,11.74,75700000,,,9930,
2017-06-01,0,0,5500,1050600.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,688.360450563204,131489.36170212764,9930,
2017-04-25,0,0,600,800000.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,75.09386733416771,100125.15644555696,9930,
2017-04-11,0,0,3000,10000.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,375.4693366708385,1251.564455569462,9930,
2014-11-13,0,0,3000,500000.0,Chuvas Intensas,2014/2015,25490.1,2014-06-30,10.67,14.69,11.51,75550000,204.22055820285908,34036.75970047652,9930,
2010-01-15,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,9930,
2009-11-29,0,0,0,0.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,75550000,,,9930,
2003-01-14,0,0,0,0.0,Enxurradas,2003/2004,,,,,,75550000,,,9930,
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,,,,,,75550000,,,9930,
1997-10-05,0,0,0,0.0,Enxurradas,1997/1998,,,,,,75550000,,,9930,
2017-06-01,0,0,5500,1050600.0,Chuvas Intensas,2017/2018,2166.8,2017-06-01,16.8,30.65,50.25,75500000,179.44535073409463,34277.324632952696,9930,Sim
2017-04-25,0,0,600,800000.0,Chuvas Intensas,2017/2018,2166.8,2017-06-01,16.8,30.65,50.25,75500000,19.575856443719413,26101.141924959215,9930,Sim
2017-04-11,0,0,3000,10000.0,Chuvas Intensas,2017/2018,2166.8,2017-06-01,16.8,30.65,50.25,75500000,97.87928221859708,326.26427406199025,9930,Sim
2014-11-13,0,0,3000,500000.0,Chuvas Intensas,2014/2015,1055.4,2014-10-02,2.62,2.51,2.4,75500000,1195.219123505976,199203.18725099604,9930,Sim
2010-01-15,0,0,0,0.0,Enxurradas,2010/2011,1410.6,2010-01-25,4.94,5.52,5.83,75500000,,,9930,Sim
2009-11-29,0,0,0,0.0,Enxurradas,2009/2010,1368.4,2009-11-24,4.42,5.01,5.21,75500000,,,9930,Sim
2003-01-14,0,0,0,0.0,Enxurradas,2003/2004,937.3,2003-12-21,1.87,1.97,1.87,75500000,,,9930,Sim
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,1005.0,1998-04-25,2.27,2.26,2.15,75500000,,,9930,Sim
1997-10-05,0,0,0,0.0,Enxurradas,1997/1998,2175.8,1997-10-18,21.0,31.27,51.59,75500000,,,9930,Sim
