Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-18,0,0,2123,0.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,777.6556776556777,,2118
2023-09-04,0,0,2123,110400.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,777.6556776556777,40439.56043956044,2118
2016-10-19,0,0,1600,1578334.0,Enxurradas,2016/2017,1183.3,2016-10-20,6.62,9.97,8.6,86560000,160.481444332999,158308.32497492476,2118
2015-10-14,0,0,1458,311356.0,Enxurradas,2015/2016,891.7,2015-09-20,3.44,3.29,3.39,86560000,443.161094224924,94637.0820668693,2118
2014-07-16,0,0,1600,540000.0,Enxurradas,2014/2015,776.8,2014-10-19,2.26,2.33,2.45,86560000,686.695278969957,231759.6566523605,2118
2023-11-18,0,0,2123,0.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,250.9456264775413,,2118
2023-09-04,0,0,2123,110400.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,250.9456264775413,13049.64539007092,2118
2016-10-19,0,0,1600,1578334.0,Enxurradas,2016/2017,7597.1,2016-10-20,3.58,4.16,4.21,86510000,384.6153846153846,379407.2115384615,2118
2015-10-14,0,0,1458,311356.0,Enxurradas,2015/2016,7237.2,2015-10-09,3.19,3.62,3.69,86510000,402.7624309392265,86009.94475138122,2118
2014-07-16,0,0,1600,540000.0,Enxurradas,2014/2015,5497.2,2014-06-06,2.1,2.02,2.08,86510000,792.0792079207921,267326.7326732673,2118
2023-11-18,0,0,2123,0.0,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,116.77667766776678,,2118
2023-09-04,0,0,2123,110400.0,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,116.77667766776678,6072.607260726073,2118
2016-10-19,0,0,1600,1578334.0,Enxurradas,2016/2017,880.7,2016-10-19,7.78,10.54,8.37,86480000,151.80265654648957,149747.05882352943,2118
2015-10-14,0,0,1458,311356.0,Enxurradas,2015/2016,724.8,2015-10-09,3.89,4.44,4.37,86480000,328.3783783783784,70125.22522522522,2118
2014-07-16,0,0,1600,540000.0,Enxurradas,2014/2015,628.6,2014-09-29,2.92,2.87,3.01,86480000,557.4912891986063,188153.3101045296,2118
