Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-12-08,0,0,3840,1616700.0,Chuvas Intensas,2023/2024,1292.1,2023-11-18,14.5,10.6,11.79,74610000,362.26415094339626,152518.8679245283,13813
2017-06-12,0,0,13970,3549655.0,Enxurradas,2017/2018,1144.8,2017-04-27,5.8,6.71,7.08,74610000,2081.967213114754,529009.6870342772,13813
2017-04-27,0,0,2380,2943600.0,Enxurradas,2017/2018,1144.8,2017-04-27,5.8,6.71,7.08,74610000,354.69448584202684,438688.524590164,13813
2014-07-15,0,0,4607,0.0,Enxurradas,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,58.81526873483978,,13813
2023-12-08,0,0,3840,1616700.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,1315.068493150685,553664.3835616439,13813
2017-06-12,0,0,13970,3549655.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,5025.179856115108,1276854.3165467626,13813
2017-04-27,0,0,2380,2943600.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,856.1151079136691,1058848.9208633094,13813
2014-07-15,0,0,4607,0.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,1490.9385113268609,,13813
2023-12-08,0,0,3840,1616700.0,Chuvas Intensas,2023/2024,476.2,2023-11-17,3.26,3.23,3.25,74470000,1188.8544891640868,500526.3157894737,13813
2017-06-12,0,0,13970,3549655.0,Enxurradas,2017/2018,759.3,2017-06-08,15.5,17.72,17.82,74470000,788.3747178329571,200319.13092550792,13813
2017-04-27,0,0,2380,2943600.0,Enxurradas,2017/2018,759.3,2017-06-08,15.5,17.72,17.82,74470000,134.3115124153499,166117.381489842,13813
2014-07-15,0,0,4607,0.0,Enxurradas,2014/2015,841.5,2014-10-01,31.0,30.12,30.12,74470000,152.95484727755644,,13813
