Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-07,0,0,2349,745000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,105.62050359712232,33498.201438848926,2287,Sim
2023-09-03,0,0,0,1000.0,Enxurradas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,,44.96402877697842,2287,Sim
2017-06-04,0,0,1649,512916.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,337.2188139059305,104890.79754601228,2287,Sim
2015-01-14,0,0,1917,30269.0,Enxurradas,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,465.2912621359223,7346.844660194174,2287,Sim
2014-07-09,0,0,0,278560.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,,25439.269406392697,2287,Sim
2011-08-30,0,0,0,6605600.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,1167067.1378091872,2287,Sim
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,2287,Sim
2023-10-07,0,0,2349,745000.0,Chuvas Intensas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,641.8032786885245,203551.912568306,2287,
2023-09-03,0,0,0,1000.0,Enxurradas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,,273.22404371584696,2287,
2017-06-04,0,0,1649,512916.0,Enxurradas,2017/2018,480.4,2017-06-06,3.78,3.26,3.23,72430000,505.82822085889575,157336.1963190184,2287,
2015-01-14,0,0,1917,30269.0,Enxurradas,2015/2016,575.8,2015-07-16,4.86,5.52,5.74,72430000,347.2826086956522,5483.514492753624,2287,
2014-07-09,0,0,0,278560.0,Enxurradas,2014/2015,663.6,2014-06-28,8.5,9.1,10.1,72430000,,30610.98901098901,2287,
2011-08-30,0,0,0,6605600.0,Enxurradas,2011/2012,615.2,2011-07-22,6.8,6.9,7.37,72430000,,957333.3333333333,2287,
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,1078.1,1993-07-05,68.0,95.25,169.86,72430000,,,2287,
