Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-20,0,0,1364,1205784.0,Inundações,2023/2024,24189.0,2023-11-22,7.5,11.45,8.11,75780000,119.12663755458516,105308.6462882096,59768
2023-07-26,0,0,0,0.0,Inundações,2023/2024,24189.0,2023-11-22,7.5,11.45,8.11,75780000,,,59768
2019-01-11,0,0,4680,6467298.37,Chuvas Intensas,2019/2020,13323.3,2019-05-14,1.76,1.62,1.74,75780000,2888.8888888888887,3992159.487654321,59768
2017-05-31,0,0,15527,2211500.0,Inundações,2017/2018,29193.2,2017-06-04,30.0,48.45,18.48,75780000,320.4747162022704,45644.99484004128,59768
2017-04-12,0,0,1680,793600.0,Enxurradas,2017/2018,29193.2,2017-06-04,30.0,48.45,18.48,75780000,34.67492260061919,16379.772961816305,59768
2015-12-29,0,0,240,562780.0,Inundações,2015/2016,22625.6,2015-07-19,5.0,7.79,6.33,75780000,30.808729139922978,72243.90243902439,59768
2015-07-27,0,0,125,230271.0,Inundações,2015/2016,22625.6,2015-07-19,5.0,7.79,6.33,75780000,16.046213093709884,29559.82028241335,59768
2015-01-29,0,0,60,95270.0,Inundações,2015/2016,22625.6,2015-07-19,5.0,7.79,6.33,75780000,7.702182284980744,12229.781771501925,59768
2014-10-09,0,0,350,800000.0,Inundações,2014/2015,26320.6,2014-07-02,15.0,20.38,11.48,75780000,17.17369970559372,39254.17075564279,59768
2014-07-30,0,7,11179,8807988.32,Inundações,2014/2015,26320.6,2014-07-02,15.0,20.38,11.48,75780000,548.5279685966634,432187.84690873406,59768
2002-01-11,0,15,287,112020.0,Movimento de Massa,2002/2003,,,,,,75780000,,,59768
1997-10-13,0,0,0,0.0,Enxurradas,1997/1998,,,,,,75780000,,,59768
1994-07-26,0,0,0,0.0,Enxurradas,1994/1995,17131.8,1994-07-09,3.0,2.65,2.8,75780000,,,59768
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,16365.4,1993-07-09,2.31,2.36,2.52,75780000,,,59768
1992-06-02,0,0,0,0.0,Inundações,1992/1993,23455.4,1992-06-03,6.0,9.52,7.22,75780000,,,59768
2023-10-20,0,0,1364,1205784.0,Inundações,2023/2024,24189.0,2023-11-22,7.5,11.45,8.11,75780000,119.12663755458516,105308.6462882096,59768
2023-07-26,0,0,0,0.0,Inundações,2023/2024,24189.0,2023-11-22,7.5,11.45,8.11,75780000,,,59768
2019-01-11,0,0,4680,6467298.37,Chuvas Intensas,2019/2020,13323.3,2019-05-14,1.76,1.62,1.74,75780000,2888.8888888888887,3992159.487654321,59768
2017-05-31,0,0,15527,2211500.0,Inundações,2017/2018,29193.2,2017-06-04,30.0,48.45,18.48,75780000,320.4747162022704,45644.99484004128,59768
2017-04-12,0,0,1680,793600.0,Enxurradas,2017/2018,29193.2,2017-06-04,30.0,48.45,18.48,75780000,34.67492260061919,16379.772961816305,59768
2015-12-29,0,0,240,562780.0,Inundações,2015/2016,22625.6,2015-07-19,5.0,7.79,6.33,75780000,30.808729139922978,72243.90243902439,59768
2015-07-27,0,0,125,230271.0,Inundações,2015/2016,22625.6,2015-07-19,5.0,7.79,6.33,75780000,16.046213093709884,29559.82028241335,59768
2015-01-29,0,0,60,95270.0,Inundações,2015/2016,22625.6,2015-07-19,5.0,7.79,6.33,75780000,7.702182284980744,12229.781771501925,59768
2014-10-09,0,0,350,800000.0,Inundações,2014/2015,26320.6,2014-07-02,15.0,20.38,11.48,75780000,17.17369970559372,39254.17075564279,59768
2014-07-30,0,7,11179,8807988.32,Inundações,2014/2015,26320.6,2014-07-02,15.0,20.38,11.48,75780000,548.5279685966634,432187.84690873406,59768
2002-01-11,0,15,287,112020.0,Movimento de Massa,2002/2003,,,,,,75780000,,,59768
1997-10-13,0,0,0,0.0,Enxurradas,1997/1998,,,,,,75780000,,,59768
1994-07-26,0,0,0,0.0,Enxurradas,1994/1995,17131.8,1994-07-09,3.0,2.65,2.8,75780000,,,59768
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,16365.4,1993-07-09,2.31,2.36,2.52,75780000,,,59768
1992-06-02,0,0,0,0.0,Inundações,1992/1993,23455.4,1992-06-03,6.0,9.52,7.22,75780000,,,59768
