Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-18,0,0,1172,75787.5,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,64.46644664466447,4168.729372937294,3091
2023-09-04,0,0,2926,763000.0,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,160.94609460946094,41969.19691969197,3091
2016-10-19,0,0,250,273920.0,Enxurradas,2016/2017,880.7,2016-10-19,7.78,10.54,8.37,86480000,23.719165085389,25988.614800759016,3091
2015-03-04,0,0,197,296274.0,Enxurradas,2015/2016,724.8,2015-10-09,3.89,4.44,4.37,86480000,44.369369369369366,66728.37837837837,3091
2014-10-07,0,0,900,180000.0,Chuvas Intensas,2014/2015,628.6,2014-09-29,2.92,2.87,3.01,86480000,313.588850174216,62717.7700348432,3091
2023-11-18,0,0,1172,75787.5,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,138.53427895981085,8958.333333333332,3091
2023-09-04,0,0,2926,763000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,345.8628841607565,90189.12529550826,3091
2016-10-19,0,0,250,273920.0,Enxurradas,2016/2017,7597.1,2016-10-20,3.58,4.16,4.21,86510000,60.09615384615385,65846.15384615384,3091
2015-03-04,0,0,197,296274.0,Enxurradas,2015/2016,7237.2,2015-10-09,3.19,3.62,3.69,86510000,54.41988950276243,81843.64640883978,3091
2014-10-07,0,0,900,180000.0,Chuvas Intensas,2014/2015,5497.2,2014-06-06,2.1,2.02,2.08,86510000,445.5445544554456,89108.91089108911,3091
2023-11-18,0,0,1172,75787.5,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,64.46644664466447,4168.729372937294,3091
2023-09-04,0,0,2926,763000.0,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,160.94609460946094,41969.19691969197,3091
2016-10-19,0,0,250,273920.0,Enxurradas,2016/2017,880.7,2016-10-19,7.78,10.54,8.37,86480000,23.719165085389,25988.614800759016,3091
2015-03-04,0,0,197,296274.0,Enxurradas,2015/2016,724.8,2015-10-09,3.89,4.44,4.37,86480000,44.369369369369366,66728.37837837837,3091
2014-10-07,0,0,900,180000.0,Chuvas Intensas,2014/2015,628.6,2014-09-29,2.92,2.87,3.01,86480000,313.588850174216,62717.7700348432,3091
