Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-20,0,0,240,1360000.0,Chuvas Intensas,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,22.3463687150838,126629.4227188082,18081,Sim
2019-01-10,0,0,6867,5393044.0,Enxurradas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,4136.746987951808,3248821.686746988,18081,Sim
2015-12-31,0,0,290,530275.0,Alagamentos,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,10.386819484240688,18992.657593123207,18081,Sim
2015-01-13,0,0,80,0.0,Enxurradas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,2.8653295128939824,,18081,Sim
2009-11-21,0,0,0,6605600.0,Inundações,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,1595555.5555555555,18081,Sim
2002-10-11,1,0,22,668740.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,5.555555555555555,168873.7373737374,18081,Sim
2023-10-20,0,0,240,1360000.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,105.26315789473684,596491.2280701755,18081,
2019-01-10,0,0,6867,5393044.0,Enxurradas,2019/2020,4764.8,2019-01-20,7.62,10.27,9.73,76500000,668.6465433300876,525125.9980525804,18081,
2015-12-31,0,0,290,530275.0,Alagamentos,2015/2016,5485.0,2015-10-13,15.25,21.27,18.69,76500000,13.634226610249176,24930.653502585803,18081,
2015-01-13,0,0,80,0.0,Enxurradas,2015/2016,5485.0,2015-10-13,15.25,21.27,18.69,76500000,3.761165961448049,,18081,
2009-11-21,0,0,0,6605600.0,Inundações,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,206683.35419274087,18081,
2002-10-11,1,0,22,668740.0,Inundações,2002/2003,5475.8,2002-10-14,12.2,21.07,18.54,76500000,1.0441385856668248,31738.96535358329,18081,
