Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-17,0,0,20540,1245000.0,Enxurradas,2023/2024,,,,,,87317060,,,21871
2017-01-05,0,0,1200,1230000.0,Chuvas Intensas,2017/2018,,,,,,87317060,,,21871
2023-11-17,0,0,20540,1245000.0,Enxurradas,2023/2024,333.9,2023-11-18,4.09,5.1,5.31,87317030,4027.450980392157,244117.64705882355,21871
2017-01-05,0,0,1200,1230000.0,Chuvas Intensas,2017/2018,192.7,2017-06-01,1.67,1.55,1.53,87317030,774.1935483870967,793548.3870967742,21871
2023-11-17,0,0,20540,1245000.0,Enxurradas,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,365.7407407407408,22168.80341880342,21871
2017-01-05,0,0,1200,1230000.0,Chuvas Intensas,2017/2018,387.7,2017-06-03,2.73,2.29,2.43,87374000,524.0174672489082,537117.903930131,21871
2023-11-17,0,0,20540,1245000.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,75.05938242280286,4549.607162433767,21871
2017-01-05,0,0,1200,1230000.0,Chuvas Intensas,2017/2018,725.7,2017-06-08,2.33,2.86,2.91,87160000,419.5804195804196,430069.9300699301,21871
2023-11-17,0,0,20540,1245000.0,Enxurradas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,2427.8959810874703,147163.12056737588,21871
2017-01-05,0,0,1200,1230000.0,Chuvas Intensas,2017/2018,4633.7,2017-06-08,1.62,1.6,1.64,86510000,750.0,768750.0,21871
2023-11-17,0,0,20540,1245000.0,Enxurradas,2023/2024,299.3,2023-07-13,1.55,1.43,1.49,86160000,14363.636363636364,870629.3706293707,21871
2017-01-05,0,0,1200,1230000.0,Chuvas Intensas,2017/2018,280.3,2017-06-08,1.47,1.34,1.39,86160000,895.5223880597015,917910.447761194,21871
