Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-14,0,0,4302,384441.0,Inundações,2023/2024,211.2,2023-11-14,1.51,1.55,1.61,85470000,2775.483870967742,248026.4516129032,62187,
2022-05-02,0,0,1847,1000000.0,Inundações,2022/2023,403.1,2022-04-29,5.9,8.22,7.39,85470000,224.69586374695865,121654.501216545,62187,
2019-07-29,0,0,300,1212500.0,Chuvas Intensas,2019/2020,505.7,2019-01-11,29.5,29.41,19.48,85470000,10.200612036722204,41227.473648418905,62187,
2019-01-11,0,0,41009,4483643.0,Chuvas Intensas,2019/2020,505.7,2019-01-11,29.5,29.41,19.48,85470000,1394.3896633798029,152453.00918055084,62187,
2016-01-08,0,0,480,30278.0,Inundações,2016/2017,229.9,2016-07-13,1.97,1.73,1.81,85470000,277.4566473988439,17501.73410404624,62187,
2015-10-16,0,5,458,2074603.0,Alagamentos,2015/2016,459.0,2015-10-09,11.8,16.07,12.46,85470000,28.50031113876789,129097.88425637834,62187,
2013-11-26,0,0,249,3635000.0,Inundações,2013/2014,286.4,2013-11-12,2.68,2.59,2.71,85470000,96.13899613899616,1403474.9034749037,62187,
2009-11-22,0,0,8616,0.0,Inundações,2009/2010,362.7,2009-11-19,4.54,5.29,5.13,85470000,1628.733459357278,,62187,
2002-10-11,0,3,173,0.0,Inundações,2002/2003,401.5,2002-12-02,5.36,8.07,7.28,85470000,21.437422552664188,,62187,
2001-04-30,0,0,0,0.0,Enxurradas,2001/2002,509.2,2001-04-29,59.0,30.82,20.14,85470000,,,62187,
1994-11-24,0,0,0,0.0,Enxurradas,1994/1995,263.7,1994-10-19,2.46,2.17,2.28,85470000,,,62187,
1994-03-29,0,0,0,0.0,Enxurradas,1994/1995,263.7,1994-10-19,2.46,2.17,2.28,85470000,,,62187,
1992-04-16,0,0,0,0.0,Inundações,1992/1993,501.8,1992-04-13,19.67,27.93,18.76,85470000,,,62187,
2023-09-14,0,0,4302,384441.0,Inundações,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,172.4248496993988,15408.456913827657,62187,Sim
2022-05-02,0,0,1847,1000000.0,Inundações,2022/2023,2460.0,2022-07-19,1.5,1.69,1.87,85642000,1092.8994082840236,591715.976331361,62187,Sim
2019-07-29,0,0,300,1212500.0,Chuvas Intensas,2019/2020,3472.6,2019-11-03,11.25,9.16,5.57,85642000,32.751091703056765,132368.99563318776,62187,Sim
2019-01-11,0,0,41009,4483643.0,Chuvas Intensas,2019/2020,3472.6,2019-11-03,11.25,9.16,5.57,85642000,4476.965065502183,489480.6768558952,62187,Sim
2016-01-08,0,0,480,30278.0,Inundações,2016/2017,3578.7,2016-10-22,15.0,12.02,6.34,85642000,39.93344425956739,2518.9683860232944,62187,Sim
2015-10-16,0,5,458,2074603.0,Alagamentos,2015/2016,4360.6,2015-12-27,45.0,166.48,17.02,85642000,2.7510812109562712,12461.574963959636,62187,Sim
2013-11-26,0,0,249,3635000.0,Inundações,2013/2014,2748.4,2013-11-15,2.14,2.35,2.47,85642000,105.95744680851064,1546808.5106382978,62187,Sim
2009-11-22,0,0,8616,0.0,Inundações,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,85642000,1999.0719257540604,,62187,Sim
2002-10-11,0,3,173,0.0,Inundações,2002/2003,3013.8,2002-10-11,4.09,3.51,3.27,85642000,49.28774928774929,,62187,Sim
2001-04-30,0,0,0,0.0,Enxurradas,2001/2002,2667.2,2001-10-04,1.67,2.12,2.27,85642000,,,62187,Sim
1994-11-24,0,0,0,0.0,Enxurradas,1994/1995,2704.8,1994-10-22,1.88,2.22,2.36,85642000,,,62187,Sim
1994-03-29,0,0,0,0.0,Enxurradas,1994/1995,2704.8,1994-10-22,1.88,2.22,2.36,85642000,,,62187,Sim
1992-04-16,0,0,0,0.0,Inundações,1992/1993,3081.1,1992-04-16,5.62,3.96,3.53,85642000,,,62187,Sim
