Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-25,0,0,6000,3382179.46,Inundações,2023/2024,,,,,,86895000,,,24569,
2023-09-03,0,0,1953,26000.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,24569,
2021-02-18,0,0,2000,76000.0,Enxurradas,2021/2022,,,,,,86895000,,,24569,
2020-07-11,0,0,1200,275000.0,Inundações,2020/2021,,,,,,86895000,,,24569,
2019-11-02,0,0,0,0.0,Inundações,2019/2020,,,,,,86895000,,,24569,
2018-09-03,0,0,4,0.0,Enxurradas,2018/2019,,,,,,86895000,,,24569,
2017-05-28,0,0,8316,3877075.0,Inundações,2017/2018,,,,,,86895000,,,24569,
2017-01-04,0,0,7090,1812040.0,Enxurradas,2017/2018,,,,,,86895000,,,24569,
2016-10-21,0,0,8179,3437997.0,Inundações,2016/2017,,,,,,86895000,,,24569,
2016-10-17,0,0,0,0.0,Inundações,2016/2017,,,,,,86895000,,,24569,
2015-10-10,0,0,0,1402281.0,Inundações,2015/2016,,,,,,86895000,,,24569,
2015-07-24,0,0,772,4080280.0,Inundações,2015/2016,,,,,,86895000,,,24569,
2014-07-09,0,0,841,1062000.0,Inundações,2014/2015,6450.5,2014-10-20,2.0,2.28,2.46,86895000,368.8596491228071,465789.47368421056,24569,
2012-09-21,0,0,0,0.0,Inundações,2012/2013,6538.7,2012-09-20,2.38,2.38,2.54,86895000,,,24569,
2011-07-22,0,1,921,0.0,Inundações,2011/2012,8847.8,2011-07-21,25.0,11.58,6.66,86895000,79.53367875647669,,24569,
2010-10-23,0,0,60,0.0,Inundações,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,13.129102844638949,,24569,
2010-01-05,0,0,1575,927000.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,344.6389496717724,202844.63894967176,24569,
2009-09-14,0,0,702,104000.0,Inundações,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,117.58793969849246,17420.43551088777,24569,
2007-09-25,0,0,6784,0.0,Inundações,2007/2008,8325.0,2007-07-11,10.0,7.38,5.28,86895000,919.241192411924,,24569,
2002-12-05,0,0,0,0.0,Enxurradas,2002/2003,7382.5,2002-06-13,3.33,3.76,3.54,86895000,,,24569,
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,24569,
1993-06-11,0,0,0,0.0,Enxurradas,1993/1994,6353.9,1993-07-06,1.92,2.19,2.37,86895000,,,24569,
2023-11-25,0,0,6000,3382179.46,Inundações,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,338.98305084745766,191083.5853107345,24569,Sim
2023-09-03,0,0,1953,26000.0,Chuvas Intensas,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,110.33898305084746,1468.9265536723165,24569,Sim
