Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-07,0,0,4726,760000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,212.50000000000003,34172.6618705036,4625
2017-06-08,0,0,0,0.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,,,4625
2014-07-03,0,0,0,1150000.0,Inundações,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,,105022.83105022831,4625
2011-03-30,0,0,0,0.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,,4625
2010-10-02,0,0,0,0.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,,4625
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,4625
2023-10-07,0,0,4726,760000.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,155.2562417871222,24967.148488830484,4625
2017-06-08,0,0,0,0.0,Enxurradas,2017/2018,949.7,2017-05-31,3.0,2.83,3.0,72630000,,,4625
2014-07-03,0,0,0,1150000.0,Inundações,2014/2015,1281.1,2014-06-27,11.5,12.19,8.99,72630000,,94339.62264150944,4625
2011-03-30,0,0,0,0.0,Enxurradas,2011/2012,1119.6,2011-07-21,4.6,5.52,5.16,72630000,,,4625
2010-10-02,0,0,0,0.0,Enxurradas,2010/2011,954.3,2010-09-23,3.14,2.88,3.04,72630000,,,4625
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,1319.5,1993-07-04,13.8,15.03,10.29,72630000,,,4625
