Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-11,0,0,2362,0.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,808.9041095890411,,2491,Sim
2022-06-06,0,0,2720,22200.0,Enxurradas,2022/2023,15002.0,2022-10-12,2.43,2.69,2.86,74500000,1011.1524163568772,8252.788104089219,2491,Sim
2017-05-30,0,0,1385,1100200.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,498.2014388489209,395755.3956834533,2491,Sim
2016-01-13,0,0,1520,2147000.0,Enxurradas,2016/2017,6361.5,2016-03-25,1.13,1.92,1.12,74500000,791.6666666666667,1118229.1666666667,2491,Sim
2014-07-15,0,0,2300,1638890.0,Alagamentos,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,744.336569579288,530385.1132686085,2491,Sim
2013-11-01,0,0,1450,558000.0,Enxurradas+Enxurradas,2013/2014,12278.0,2013-09-23,2.12,2.58,1.94,74500000,562.015503875969,216279.06976744183,2491,Sim
2011-02-14,0,0,0,0.0,Enxurradas,2011/2012,,,,,,74500000,,,2491,Sim
2009-12-23,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,2491,Sim
2023-09-11,0,0,2362,0.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,874.8148148148148,,2491,
2022-06-06,0,0,2720,22200.0,Enxurradas,2022/2023,1926.4,2022-05-30,2.02,2.14,2.09,74270000,1271.0280373831774,10373.831775700934,2491,
2017-05-30,0,0,1385,1100200.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,261.3207547169811,207584.90566037735,2491,
2016-01-13,0,0,1520,2147000.0,Enxurradas,2016/2017,1134.1,2016-10-21,1.27,1.27,1.26,74270000,1196.8503937007874,1690551.1811023622,2491,
2014-07-15,0,0,2300,1638890.0,Alagamentos,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,94.53349773941636,67360.87135224004,2491,
2013-11-01,0,0,1450,558000.0,Enxurradas+Enxurradas,2013/2014,2089.7,2013-08-26,2.43,2.44,2.39,74270000,594.2622950819672,228688.52459016396,2491,
2011-02-14,0,0,0,0.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,,,2491,
2009-12-23,0,0,0,0.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,,2491,
