Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2013-11-12,0,0,300,31000.0,Enxurradas,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,53.57142857142858,5535.714285714286,1917,Sim
2010-01-04,0,0,0,22500.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,,4923.413566739606,1917,Sim
2009-11-22,0,0,0,637000.0,Enxurradas,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,,106700.16750418762,1917,Sim
2003-10-27,0,0,0,0.0,Enxurradas,2003/2004,6503.4,2003-02-21,2.17,2.34,2.51,86895000,,,1917,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,1917,Sim
2013-11-12,0,0,300,31000.0,Enxurradas,2013/2014,363.5,2013-08-25,1.51,1.53,1.51,86745000,196.078431372549,20261.437908496733,1917,
2010-01-04,0,0,0,22500.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,,211.70493037260067,1917,
2009-11-22,0,0,0,637000.0,Enxurradas,2009/2010,508.4,2009-08-10,2.72,2.53,2.54,86745000,,251778.65612648224,1917,
2003-10-27,0,0,0,0.0,Enxurradas,2003/2004,719.9,2003-07-09,6.18,6.35,6.66,86745000,,,1917,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1257.8,2001-07-20,34.0,89.56,107.74,86745000,,,1917,
