Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-16,0,0,6834,690000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,307.2841726618705,31025.17985611511,6911
2023-10-07,0,0,2476,0.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,111.33093525179856,,6911
2018-10-18,0,0,0,0.0,Enxurradas,2018/2019,7348.2,2018-10-19,1.2,1.24,1.22,74100000,,,6911
2017-06-04,0,0,1190,150000.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,243.35378323108387,30674.846625766877,6911
2017-05-27,0,0,600,0.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,122.69938650306749,,6911
2014-07-07,0,0,750,423000.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,68.4931506849315,38630.136986301375,6911
2011-03-30,0,0,0,0.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,,6911
2010-04-25,0,0,0,0.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,,6911
2010-01-24,0,0,0,0.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,,6911
2003-01-13,0,0,0,0.0,Enxurradas,2003/2004,8032.0,2003-12-23,1.32,1.32,1.27,74100000,,,6911
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,6911
