Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-28,0,0,1175,590000.0,Chuvas Intensas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,29.75436819447961,14940.49126361104,240378,Sim
2023-09-14,0,0,1470,0.0,Chuvas Intensas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,37.224613826285136,,240378,Sim
2023-06-20,2,200,209502,154921000.0,Alagamentos,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,5305.191187642441,3923043.808559129,240378,Sim
2013-09-06,1,0,178401,20000000.0,Inundações,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,4177.031140248186,468274.4088035589,240378,Sim
2013-08-25,0,0,62,0.0,Inundações,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,1.4516506672910323,,240378,Sim
2011-02-14,1,0,401,0.0,Enxurradas,2011/2012,691.7,2011-07-24,7.57,7.22,7.75,87382000,55.54016620498615,,240378,Sim
2009-09-15,0,0,853,0.0,Inundações,2009/2010,662.8,2009-09-15,5.89,6.21,6.53,87382000,137.35909822866344,,240378,Sim
2023-11-28,0,0,1175,590000.0,Chuvas Intensas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,29.75436819447961,14940.49126361104,240378,Sim
2023-09-14,0,0,1470,0.0,Chuvas Intensas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,37.224613826285136,,240378,Sim
2023-06-20,2,200,209502,154921000.0,Alagamentos,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,5305.191187642441,3923043.808559129,240378,Sim
2013-09-06,1,0,178401,20000000.0,Inundações,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,4177.031140248186,468274.4088035589,240378,Sim
2013-08-25,0,0,62,0.0,Inundações,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,1.4516506672910323,,240378,Sim
2011-02-14,1,0,401,0.0,Enxurradas,2011/2012,691.7,2011-07-24,7.57,7.22,7.75,87382000,55.54016620498615,,240378,Sim
2009-09-15,0,0,853,0.0,Inundações,2009/2010,662.8,2009-09-15,5.89,6.21,6.53,87382000,137.35909822866344,,240378,Sim
