Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2017-06-02,0,0,0,5168935.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,,646925.5319148937,33124,Sim
2016-10-19,0,0,15,0.0,Alagamentos,2016/2017,8672.4,2016-03-27,1.19,1.21,1.22,75550000,12.396694214876034,,33124,Sim
2016-02-17,0,0,1820,0.0,Chuvas Intensas,2016/2017,8672.4,2016-03-27,1.19,1.21,1.22,75550000,1504.1322314049587,,33124,Sim
2014-11-03,0,0,4320,0.0,Chuvas Intensas,2014/2015,25490.1,2014-06-30,10.67,14.69,11.51,75550000,294.0776038121171,,33124,Sim
2003-01-13,0,0,0,0.0,Enxurradas,2003/2004,,,,,,75550000,,,33124,Sim
2017-06-02,0,0,0,5168935.0,Chuvas Intensas,2017/2018,2166.8,2017-06-01,16.8,30.65,50.25,75500000,,168643.88254486135,33124,
2016-10-19,0,0,15,0.0,Alagamentos,2016/2017,1146.8,2016-10-21,3.11,3.05,2.97,75500000,4.918032786885246,,33124,
2016-02-17,0,0,1820,0.0,Chuvas Intensas,2016/2017,1146.8,2016-10-21,3.11,3.05,2.97,75500000,596.7213114754098,,33124,
2014-11-03,0,0,4320,0.0,Chuvas Intensas,2014/2015,1055.4,2014-10-02,2.62,2.51,2.4,75500000,1721.1155378486058,,33124,
2003-01-13,0,0,0,0.0,Enxurradas,2003/2004,937.3,2003-12-21,1.87,1.97,1.87,75500000,,,33124,
