Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2019-11-05,0,0,130,105200.0,Chuvas Intensas,2019/2020,12371.6,2019-05-14,1.78,1.62,1.68,75550000,80.24691358024691,64938.271604938265,7692
2015-12-16,0,0,3694,533770.0,Chuvas Intensas,2015/2016,19662.9,2015-07-18,4.0,4.56,4.49,75550000,810.0877192982457,117054.82456140353,7692
2014-11-03,0,0,3694,2662600.0,Chuvas Intensas,2014/2015,25490.1,2014-06-30,10.67,14.69,11.51,75550000,251.4635806671205,181252.55275697756,7692
2010-01-19,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,7692
1992-11-16,0,0,0,0.0,Inundações,1992/1993,22574.1,1992-06-01,6.4,7.94,7.12,75550000,,,7692
2019-11-05,0,0,130,105200.0,Chuvas Intensas,2019/2020,985.9,2019-07-25,2.76,3.19,3.27,75450000,40.75235109717868,32978.05642633229,7692
2015-12-16,0,0,3694,533770.0,Chuvas Intensas,2015/2016,2122.9,2015-12-25,69.0,257.8,96.18,75450000,14.328937160589604,2070.480993017843,7692
2014-11-03,0,0,3694,2662600.0,Chuvas Intensas,2014/2015,777.3,2014-10-02,2.03,1.91,1.98,75450000,1934.0314136125653,1394031.4136125655,7692
2010-01-19,0,0,0,0.0,Enxurradas,2010/2011,1054.5,2010-01-23,3.14,3.89,3.91,75450000,,,7692
1992-11-16,0,0,0,0.0,Inundações,1992/1993,609.5,1992-05-30,1.5,1.41,1.44,75450000,,,7692
