Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,0,0,21944,5240000.0,Inundações,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,371.4914508210597,88708.31217199932,26161,Sim
2023-06-17,0,0,21944,0.0,Inundações,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,371.4914508210597,,26161,Sim
2020-07-11,0,0,18902,625900.0,Inundações,2020/2021,933.0,2020-07-09,3.43,3.77,3.66,87170000,5013.793103448276,166021.22015915118,26161,Sim
2017-06-02,0,0,4746,888000.0,Inundações,2017/2018,882.7,2017-06-09,2.67,2.87,3.01,87170000,1653.6585365853657,309407.66550522647,26161,Sim
2016-10-19,0,0,14230,4021000.0,Inundações,2016/2017,1145.8,2016-10-18,24.0,19.43,9.11,87170000,732.3726196603191,206948.0185280494,26161,Sim
2015-10-21,0,0,17009,2768292.0,Inundações,2015/2016,982.9,2015-10-09,4.36,5.15,4.5,87170000,3302.7184466019417,537532.427184466,26161,Sim
2015-07-21,0,0,926,2237291.0,Inundações,2015/2016,982.9,2015-10-09,4.36,5.15,4.5,87170000,179.80582524271844,434425.4368932039,26161,Sim
2013-11-25,0,1,9244,4252999.98,Inundações,2013/2014,1080.8,2013-08-26,12.0,10.79,6.83,87170000,856.7191844300279,394161.2585727527,26161,Sim
2013-08-29,0,2,10608,5952000.0,Inundações,2013/2014,1080.8,2013-08-26,12.0,10.79,6.83,87170000,983.132530120482,551621.8721037998,26161,Sim
2011-08-08,0,0,6301,0.0,Enxurradas,2011/2012,1032.5,2011-07-21,6.86,7.33,5.54,87170000,859.6180081855389,,26161,Sim
2011-04-23,0,0,0,0.0,Inundações,2011/2012,1032.5,2011-07-21,6.86,7.33,5.54,87170000,,,26161,Sim
2010-09-28,0,0,0,0.0,Inundações,2010/2011,501.2,2010-07-23,1.14,1.09,1.09,87170000,,,26161,Sim
2009-11-13,0,0,22022,2232720.0,Inundações,2009/2010,1120.3,2009-09-30,16.0,15.28,8.13,87170000,1441.230366492147,146120.41884816755,26161,Sim
2007-09-24,1,0,17444,0.0,Inundações,2007/2008,926.3,2007-07-11,3.2,3.63,3.57,87170000,4805.509641873278,,26161,Sim
2003-07-09,0,0,1142,0.0,Inundações,2003/2004,920.9,2003-02-21,3.0,3.52,3.49,87170000,324.4318181818182,,26161,Sim
2002-06-09,0,1,649,0.0,Inundações,2002/2003,843.6,2002-06-12,2.18,2.39,2.59,87170000,271.5481171548117,,26161,Sim
