Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-12-29,0,0,21219,1650000.0,Chuvas Intensas,2023/2024,292.4,2023-11-15,1.71,1.88,2.09,85623000,11286.702127659575,877659.5744680852,23492,
2023-12-19,0,0,8,0.0,Chuvas Intensas,2023/2024,292.4,2023-11-15,1.71,1.88,2.09,85623000,4.25531914893617,,23492,
2023-11-17,0,0,6,0.0,Chuvas Intensas+Chuvas Intensas,2023/2024,292.4,2023-11-15,1.71,1.88,2.09,85623000,3.191489361702128,,23492,
2023-09-25,0,0,45,0.0,Inundações+Chuvas Intensas,2023/2024,292.4,2023-11-15,1.71,1.88,2.09,85623000,23.93617021276596,,23492,
2016-10-28,0,0,4500,464000.0,Chuvas Intensas,2016/2017,327.7,2016-07-12,2.16,2.48,2.65,85623000,1814.516129032258,187096.7741935484,23492,
2014-08-13,0,0,5416,4569744.0,Enxurradas,2014/2015,409.5,2014-07-24,8.2,6.23,4.92,85623000,869.3418940609952,733506.2600321027,23492,
2013-11-26,0,0,15,8485000.0,Enxurradas,2013/2014,293.2,2013-11-12,1.78,1.89,2.1,85623000,7.936507936507937,4489417.98941799,23492,
2010-02-10,0,0,0,0.0,Inundações,2010/2011,358.3,2010-09-14,2.73,3.33,3.31,85623000,,,23492,
2009-11-20,0,0,0,0.0,Inundações,2009/2010,364.6,2009-11-19,3.73,3.57,3.47,85623000,,,23492,
2002-10-02,0,0,650,0.0,Enxurradas,2002/2003,361.8,2002-12-02,2.93,3.46,3.4,85623000,187.8612716763006,,23492,
1995-04-28,0,0,0,0.0,Enxurradas,1995/1996,305.5,1995-09-12,1.86,2.07,2.28,85623000,,,23492,
1994-11-09,0,0,0,0.0,Enxurradas,1994/1995,376.8,1994-10-18,4.1,4.1,3.81,85623000,,,23492,
1992-11-16,0,0,0,0.0,Enxurradas,1992/1993,519.9,1992-04-12,41.0,44.09,12.38,85623000,,,23492,
1992-04-16,0,0,0,0.0,Enxurradas,1992/1993,519.9,1992-04-12,41.0,44.09,12.38,85623000,,,23492,
2023-12-29,0,0,21219,1650000.0,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,850.4609218436874,66132.26452905811,23492,Sim
2023-12-19,0,0,8,0.0,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,0.3206412825651302,,23492,Sim
2023-11-17,0,0,6,0.0,Chuvas Intensas+Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,0.2404809619238477,,23492,Sim
2023-09-25,0,0,45,0.0,Inundações+Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,1.8036072144288575,,23492,Sim
2016-10-28,0,0,4500,464000.0,Chuvas Intensas,2016/2017,3578.7,2016-10-22,15.0,12.02,6.34,85642000,374.37603993344425,38602.329450915146,23492,Sim
2014-08-13,0,0,5416,4569744.0,Enxurradas,2014/2015,2831.0,2014-07-27,2.5,2.63,2.69,85642000,2059.3155893536123,1737545.247148289,23492,Sim
2013-11-26,0,0,15,8485000.0,Enxurradas,2013/2014,2748.4,2013-11-15,2.14,2.35,2.47,85642000,6.382978723404255,3610638.29787234,23492,Sim
2010-02-10,0,0,0,0.0,Inundações,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,,,23492,Sim
2009-11-20,0,0,0,0.0,Inundações,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,85642000,,,23492,Sim
2002-10-02,0,0,650,0.0,Enxurradas,2002/2003,3013.8,2002-10-11,4.09,3.51,3.27,85642000,185.1851851851852,,23492,Sim
1995-04-28,0,0,0,0.0,Enxurradas,1995/1996,2264.6,1995-08-05,1.29,1.44,1.59,85642000,,,23492,Sim
1994-11-09,0,0,0,0.0,Enxurradas,1994/1995,2704.8,1994-10-22,1.88,2.22,2.36,85642000,,,23492,Sim
1992-11-16,0,0,0,0.0,Enxurradas,1992/1993,3081.1,1992-04-16,5.62,3.96,3.53,85642000,,,23492,Sim
1992-04-16,0,0,0,0.0,Enxurradas,1992/1993,3081.1,1992-04-16,5.62,3.96,3.53,85642000,,,23492,Sim
2023-12-29,0,0,21219,1650000.0,Chuvas Intensas,2023/2024,292.4,2023-11-15,1.71,1.88,2.09,85623000,11286.702127659575,877659.5744680852,23492,
2023-12-19,0,0,8,0.0,Chuvas Intensas,2023/2024,292.4,2023-11-15,1.71,1.88,2.09,85623000,4.25531914893617,,23492,
2023-11-17,0,0,6,0.0,Chuvas Intensas+Chuvas Intensas,2023/2024,292.4,2023-11-15,1.71,1.88,2.09,85623000,3.191489361702128,,23492,
2023-09-25,0,0,45,0.0,Inundações+Chuvas Intensas,2023/2024,292.4,2023-11-15,1.71,1.88,2.09,85623000,23.93617021276596,,23492,
2016-10-28,0,0,4500,464000.0,Chuvas Intensas,2016/2017,327.7,2016-07-12,2.16,2.48,2.65,85623000,1814.516129032258,187096.7741935484,23492,
2014-08-13,0,0,5416,4569744.0,Enxurradas,2014/2015,409.5,2014-07-24,8.2,6.23,4.92,85623000,869.3418940609952,733506.2600321027,23492,
2013-11-26,0,0,15,8485000.0,Enxurradas,2013/2014,293.2,2013-11-12,1.78,1.89,2.1,85623000,7.936507936507937,4489417.98941799,23492,
2010-02-10,0,0,0,0.0,Inundações,2010/2011,358.3,2010-09-14,2.73,3.33,3.31,85623000,,,23492,
2009-11-20,0,0,0,0.0,Inundações,2009/2010,364.6,2009-11-19,3.73,3.57,3.47,85623000,,,23492,
2002-10-02,0,0,650,0.0,Enxurradas,2002/2003,361.8,2002-12-02,2.93,3.46,3.4,85623000,187.8612716763006,,23492,
1995-04-28,0,0,0,0.0,Enxurradas,1995/1996,305.5,1995-09-12,1.86,2.07,2.28,85623000,,,23492,
1994-11-09,0,0,0,0.0,Enxurradas,1994/1995,376.8,1994-10-18,4.1,4.1,3.81,85623000,,,23492,
1992-11-16,0,0,0,0.0,Enxurradas,1992/1993,519.9,1992-04-12,41.0,44.09,12.38,85623000,,,23492,
1992-04-16,0,0,0,0.0,Enxurradas,1992/1993,519.9,1992-04-12,41.0,44.09,12.38,85623000,,,23492,
