Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-17,0,0,218,2550000.0,Chuvas Intensas,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,56.33074935400517,658914.7286821705,2248
2023-09-04,0,0,2207,1480000.0,Chuvas Intensas,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,570.2842377260981,382428.94056847546,2248
2017-03-03,0,0,380,99570.0,Enxurradas,2017/2018,966.5,2017-06-08,4.3,4.69,4.75,86500000,81.02345415778251,21230.277185501065,2248
2010-01-03,0,0,0,2233120.0,Enxurradas,2010/2011,1093.4,2010-09-22,6.62,7.16,7.25,86500000,,311888.2681564246,2248
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1261.3,2001-10-01,10.75,12.93,12.98,86500000,,,2248
2023-11-17,0,0,218,2550000.0,Chuvas Intensas,2023/2024,325.9,2023-09-04,33.5,62.16,195.6,86420000,3.507078507078507,41023.16602316603,2248
2023-09-04,0,0,2207,1480000.0,Chuvas Intensas,2023/2024,325.9,2023-09-04,33.5,62.16,195.6,86420000,35.50514800514801,23809.52380952381,2248
2017-03-03,0,0,380,99570.0,Enxurradas,2017/2018,112.8,2017-06-08,2.23,2.44,2.28,86420000,155.7377049180328,40807.37704918033,2248
2010-01-03,0,0,0,2233120.0,Enxurradas,2010/2011,124.1,2010-09-22,3.05,2.91,2.76,86420000,,767395.1890034364,2248
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,389.0,2001-10-01,67.0,142.76,790.67,86420000,,,2248
2023-11-17,0,0,218,2550000.0,Chuvas Intensas,2023/2024,2931.9,2023-11-18,69.0,83.5,131.89,86410000,2.6107784431137726,30538.922155688622,2248
2023-09-04,0,0,2207,1480000.0,Chuvas Intensas,2023/2024,2931.9,2023-11-18,69.0,83.5,131.89,86410000,26.431137724550897,17724.550898203594,2248
2017-03-03,0,0,380,99570.0,Enxurradas,2017/2018,767.2,2017-06-08,1.68,1.68,1.63,86410000,226.1904761904762,59267.857142857145,2248
2010-01-03,0,0,0,2233120.0,Enxurradas,2010/2011,857.7,2010-09-22,1.82,1.9,1.86,86410000,,1175326.3157894737,2248
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1880.0,2001-07-20,8.62,11.54,13.11,86410000,,,2248
2023-11-17,0,0,218,2550000.0,Chuvas Intensas,2023/2024,299.3,2023-07-13,1.55,1.43,1.49,86160000,152.44755244755245,1783216.7832167833,2248
2023-09-04,0,0,2207,1480000.0,Chuvas Intensas,2023/2024,299.3,2023-07-13,1.55,1.43,1.49,86160000,1543.3566433566434,1034965.034965035,2248
2017-03-03,0,0,380,99570.0,Enxurradas,2017/2018,280.3,2017-06-08,1.47,1.34,1.39,86160000,283.5820895522388,74305.97014925373,2248
2010-01-03,0,0,0,2233120.0,Enxurradas,2010/2011,301.6,2010-04-26,1.57,1.44,1.51,86160000,,1550777.7777777778,2248
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,661.7,2001-10-01,17.0,17.81,12.33,86160000,,,2248
2023-11-17,0,0,218,2550000.0,Chuvas Intensas,2023/2024,1508.3,2023-09-04,17.2,22.62,35.15,86100000,9.637488947833775,112732.09549071618,2248
2023-09-04,0,0,2207,1480000.0,Chuvas Intensas,2023/2024,1508.3,2023-09-04,17.2,22.62,35.15,86100000,97.5685234305924,65428.8240495137,2248
2017-03-03,0,0,380,99570.0,Enxurradas,2017/2018,460.4,2017-06-08,1.32,1.41,1.36,86100000,269.5035460992908,70617.02127659575,2248
2010-01-03,0,0,0,2233120.0,Enxurradas,2010/2011,736.9,2010-05-13,2.77,2.73,2.6,86100000,,817992.673992674,2248
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1525.5,2001-10-01,21.5,23.68,37.41,86100000,,,2248
2023-11-17,0,0,218,2550000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,25.768321513002363,301418.43971631204,2248
2023-09-04,0,0,2207,1480000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,260.87470449172577,174940.89834515363,2248
2017-03-03,0,0,380,99570.0,Enxurradas,2017/2018,4633.7,2017-06-08,1.62,1.6,1.64,86510000,237.5,62231.25,2248
2010-01-03,0,0,0,2233120.0,Enxurradas,2010/2011,5326.6,2010-09-23,1.95,1.92,1.98,86510000,,1163083.3333333335,2248
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,12763.4,2001-10-01,86.0,43.68,32.69,86510000,,,2248
