Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-21,0,0,1944,5561000.0,Enxurradas,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,32.910106653123414,94142.5427458947,2288,Sim
2023-11-16,0,0,1944,980000.0,Enxurradas,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,32.910106653123414,16590.485864228882,2288,Sim
2023-06-22,0,0,1944,500000.0,Enxurradas,2023/2024,1250.0,2023-06-17,48.0,59.07,14.59,87170000,32.910106653123414,8464.533604198408,2288,Sim
2020-07-20,0,0,0,0.0,Enxurradas,2020/2021,933.0,2020-07-09,3.43,3.77,3.66,87170000,,,2288,Sim
2013-11-21,0,0,0,65000.0,Enxurradas,2013/2014,1080.8,2013-08-26,12.0,10.79,6.83,87170000,,6024.096385542169,2288,Sim
2011-07-21,0,0,1508,2152000.0,Enxurradas,2011/2012,1032.5,2011-07-21,6.86,7.33,5.54,87170000,205.7298772169168,293587.99454297405,2288,Sim
2009-01-10,0,0,0,652000.0,Enxurradas,2009/2010,1120.3,2009-09-30,16.0,15.28,8.13,87170000,,42670.15706806283,2288,Sim
2003-07-08,0,0,58,151500.0,Inundações,2003/2004,920.9,2003-02-21,3.0,3.52,3.49,87170000,16.477272727272727,43039.77272727273,2288,Sim
2000-12-25,0,0,0,0.0,Enxurradas,2000/2001,632.1,2000-10-14,1.37,1.27,1.36,87170000,,,2288,Sim
1995-01-17,0,0,0,0.0,Enxurradas,1995/1996,722.4,1995-07-20,1.45,1.56,1.73,87170000,,,2288,Sim
