Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-24,0,0,8440,0.0,Chuvas Intensas,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,785.8472998137803,,8742
2019-01-22,0,0,0,0.0,Chuvas Intensas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,,,8742
2015-12-30,0,0,300,482495.0,Chuvas Intensas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,10.744985673352437,17281.339541547277,8742
2015-12-24,0,0,0,0.0,Enxurradas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,,,8742
2010-02-17,0,0,0,0.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,8742
2009-12-07,0,0,0,1289900.0,Enxurradas,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,311570.0483091788,8742
2002-10-08,0,0,3030,932560.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,765.1515151515151,235494.94949494948,8742
2023-10-24,0,0,8440,0.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,3701.7543859649127,,8742
2019-01-22,0,0,0,0.0,Chuvas Intensas,2019/2020,4764.8,2019-01-20,7.62,10.27,9.73,76500000,,,8742
2015-12-30,0,0,300,482495.0,Chuvas Intensas,2015/2016,5485.0,2015-10-13,15.25,21.27,18.69,76500000,14.104372355430185,22684.297132110954,8742
2015-12-24,0,0,0,0.0,Enxurradas,2015/2016,5485.0,2015-10-13,15.25,21.27,18.69,76500000,,,8742
2010-02-17,0,0,0,0.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,8742
2009-12-07,0,0,0,1289900.0,Enxurradas,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,40359.82478097622,8742
2002-10-08,0,0,3030,932560.0,Inundações,2002/2003,5475.8,2002-10-14,12.2,21.07,18.54,76500000,143.8063597532036,44260.085429520645,8742
