Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-28,0,0,570,500000.0,Chuvas Intensas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,14.434033932641174,12661.433274246643,142508,Sim
2023-06-19,0,0,9990,5634700.0,Chuvas Intensas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,252.97543681944796,142686.75614079513,142508,Sim
2013-11-01,0,0,10186,17244232.45,Inundações,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,238.49215640365253,403751.6377897448,142508,Sim
2011-02-07,0,0,200,0.0,Enxurradas,2011/2012,691.7,2011-07-24,7.57,7.22,7.75,87382000,27.70083102493075,,142508,Sim
2009-11-19,0,0,30522,130090.0,Enxurradas,2009/2010,662.8,2009-09-15,5.89,6.21,6.53,87382000,4914.975845410628,20948.470209339772,142508,Sim
2009-10-01,0,0,10441,0.0,Enxurradas,2009/2010,662.8,2009-09-15,5.89,6.21,6.53,87382000,1681.3204508856684,,142508,Sim
2023-11-28,0,0,570,500000.0,Chuvas Intensas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,14.434033932641174,12661.433274246643,142508,Sim
2023-06-19,0,0,9990,5634700.0,Chuvas Intensas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,252.97543681944796,142686.75614079513,142508,Sim
2013-11-01,0,0,10186,17244232.45,Inundações,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,238.49215640365253,403751.6377897448,142508,Sim
2011-02-07,0,0,200,0.0,Enxurradas,2011/2012,691.7,2011-07-24,7.57,7.22,7.75,87382000,27.70083102493075,,142508,Sim
2009-11-19,0,0,30522,130090.0,Enxurradas,2009/2010,662.8,2009-09-15,5.89,6.21,6.53,87382000,4914.975845410628,20948.470209339772,142508,Sim
2009-10-01,0,0,10441,0.0,Enxurradas,2009/2010,662.8,2009-09-15,5.89,6.21,6.53,87382000,1681.3204508856684,,142508,Sim
