Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2017-06-09,0,0,4836,2757517.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1739.5683453237411,991912.5899280576,25024
2014-03-05,0,0,24,7437000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,7.766990291262136,2406796.1165048545,25024
2010-01-28,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,25024
2009-12-11,0,0,0,6709900.0,Enxurradas,2009/2010,,,,,,74500000,,,25024
1997-09-15,0,0,0,0.0,Enxurradas,1997/1998,,,,,,74500000,,,25024
2017-06-09,0,0,4836,2757517.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,912.4528301886792,520286.2264150944,25024
2014-03-05,0,0,24,7437000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,0.9864364981504316,305672.009864365,25024
2010-01-28,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,25024
2009-12-11,0,0,0,6709900.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,3092119.815668203,25024
1997-09-15,0,0,0,0.0,Enxurradas,1997/1998,3760.2,1997-10-30,12.14,11.43,12.69,74270000,,,25024
2017-06-09,0,0,4836,2757517.0,Enxurradas,2017/2018,388.6,2017-05-24,66.0,80.39,18.07,74205000,60.15673591242692,34301.74151013808,25024
2014-03-05,0,0,24,7437000.0,Enxurradas,2014/2015,317.9,2014-06-27,11.0,11.5,7.46,74205000,2.0869565217391304,646695.6521739131,25024
2010-01-28,0,0,0,0.0,Enxurradas,2010/2011,226.6,2010-06-18,2.44,2.41,2.64,74205000,,,25024
2009-12-11,0,0,0,6709900.0,Enxurradas,2009/2010,195.1,2009-09-12,1.78,1.75,1.95,74205000,,3834228.5714285714,25024
1997-09-15,0,0,0,0.0,Enxurradas,1997/1998,284.4,1997-10-10,5.5,5.76,5.0,74205000,,,25024
