Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-10,0,0,11950,1270000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,4092.4657534246576,434931.5068493151,10678,
2017-06-12,0,0,6265,3318900.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,2253.5971223021584,1193848.9208633094,10678,
2015-01-13,0,10,706,0.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,246.85314685314685,,10678,
2014-07-18,1,50,217,7404000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,70.22653721682848,2396116.504854369,10678,
2014-04-16,0,0,0,350000.0,Chuvas Intensas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,,113268.60841423948,10678,
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,,,,,,74500000,,,10678,
2010-11-26,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,10678,
2009-11-22,0,0,5229,0.0,Enxurradas,2009/2010,,,,,,74500000,,,10678,
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,,,,,,74500000,,,10678,
2023-10-10,0,0,11950,1270000.0,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,3221.024258760108,342318.0592991914,10678,Sim
2017-06-12,0,0,6265,3318900.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,531.8336162988115,281740.23769100173,10678,Sim
2015-01-13,0,10,706,0.0,Enxurradas,2015/2016,722.0,2015-12-15,4.77,4.56,4.6,74370000,154.8245614035088,,10678,Sim
2014-07-18,1,50,217,7404000.0,Enxurradas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,3.784443669340774,129124.5204046041,10678,Sim
2014-04-16,0,0,0,350000.0,Chuvas Intensas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,,6103.941402162539,10678,Sim
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,850.7,2011-06-23,6.2,9.08,8.81,74370000,,,10678,Sim
2010-11-26,0,0,0,0.0,Enxurradas,2010/2011,678.1,2010-05-18,3.1,3.67,3.73,74370000,,,10678,Sim
2009-11-22,0,0,5229,0.0,Enxurradas,2009/2010,641.5,2009-11-22,2.7,3.09,3.15,74370000,1692.233009708738,,10678,Sim
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,909.0,1998-05-14,12.4,12.66,11.95,74370000,,,10678,Sim
2023-10-10,0,0,11950,1270000.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,4425.925925925925,470370.3703703704,10678,
2017-06-12,0,0,6265,3318900.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,1182.0754716981132,626207.5471698113,10678,
2015-01-13,0,10,706,0.0,Enxurradas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,32.10550250113688,,10678,
2014-07-18,1,50,217,7404000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,8.919030004110153,304315.6596794082,10678,
2014-04-16,0,0,0,350000.0,Chuvas Intensas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,,14385.532264693797,10678,
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,,,10678,
2010-11-26,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,10678,
2009-11-22,0,0,5229,0.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,2409.677419354839,,10678,
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,2974.1,1998-05-14,6.54,5.36,5.53,74270000,,,10678,
